Name of the file,Topic,Participant,CN,Dialogue,Translation,CSs/s,Comments
130620_004,Language ,Interviewer,,"Thank you for coming for this discussion, on the languages.  Aa, the way you use language in everyday life.  On campus, or at home. So I have a few questions that we will discuss, and you can free to use any language-yea-any language that you wish to use.","Thank you for coming for this discussion, on the languages.  Aa, the way you use language in everyday life.  On campus, or at home. So I have a few questions that we will discuss, and you can free to use any language-yea-any language that you wish to use.",,
,,Alvin,,Okay,Okay,,
,,Interviewer,,"Yea, so I want to:-to start by asking you what language do you typically use with your family?","Yea, so I want to:-to start by asking you what language do you typically use with your family?",,
,,Alvin,,"Mm, in my family: it depends with the people I am talking to.  If I'm talking to: my mom and dad I at times use vernacular.  ","Mm, in my family: it depends with the people I am talking to.  If I'm talking to: my mom and dad I at times use vernacular.  ",,
,,Interviewer,,Vernacular?,Vernacular?,,
,,Alvin,,"Yea.  But when I'm talking amongst my brothers and sisters we at times talk Sheng.  And uuh, at times we: even talk vernacular.  For instance my brother can talk in-tell me ""I've missed talking Dholuo"", we talk=   ","Yea.  But when I'm talking amongst my brothers and sisters we at times talk Sheng.  And uuh, at times we: even talk vernacular.  For instance my brother can talk in-tell me ""I've missed talking Dholuo"", we talk=   ",,
,,Interviewer,,So you talk Dholuo.,So you talk Dholuo.,,
,,Alvin,,Dholuo. Yea.,Dholuo. Yea.,,
,,Interviewer,,"Yea, okay.  And when you say Sheng? What-what languages would those be that you are mixing?","Yea, okay.  And when you say Sheng? What-what languages would those be that you are mixing?",,
,,Alvin,,"Now in Sheng consists of aa:-I mean basically there are like three languages.  Mm, for instance there is English in Sheng, there is Swahili in Sheng, there is also some bit of uuh, Kikuyu, in Sheng. Yea. For instance the Kikuyu word uuh-I mean the Sheng word <Sheng label='exemplification'>shosho</Sheng label='exemplification'>, it comes from a Kikuyu word uuh they called the <Kikuyu label='exemplification'>""shosho""</Kikuyu label='exemplification'> it's written ""c-u-c-u"".  Yea.","Now in Sheng consists of aa:-I mean basically there are like three languages.  Mm, for instance there is English in Sheng, there is Swahili in Sheng, there is also some bit of uuh, Kikuyu, in Sheng. Yea. For instance the Kikuyu word uuh-I mean the Sheng word <English>grandmother</English>, it comes from a Kikuyu word uuh they called <English>granother</English> it's written ""c-u-c-u"".  Yea.",CS,SM: Exemplification. 
,,Interviewer,,"Mm. What I mean is-like you said with your brothers, and sisters, you use Sheng.  ","Mm. What I mean is-like you said with your brothers, and sisters, you use Sheng.  ",,
,,Alvin,,"Yea, Sheng.","Yea, Sheng.",,
,,Interviewer,,"Yea. So:..-which means-which means that you'll be mixing some languages, uh?","Yea. So:..-which means-which means that you'll be mixing some languages, uh?",,
,,Alvin,,Yea.,Yea.,,
,,Interviewer,,"Would you also be mixing for example Kiswahili, English and Dholuo?","Would you also be mixing for example Kiswahili, English and Dholuo?",,
,,Alvin,,"Mm, probably. Probably some bits of it. Yea, we do=","Mm, probably. Probably some bits of it. Yea, we do=",,
,,Interviewer,,So with them you also mix some Dholuo but=,So with them you also mix some Dholuo but=,,
,,Alvin,,Some Dholuo. ,Some Dholuo. ,,
,,Interviewer,,Yea.  But typically parents it's Dholuo?,Yea.  But typically parents it's Dholuo?,,
,,Alvin,00:02:00mins,"It's Dholuo, and at times my dad can call.  And then he starts a conversation ""<Swahili label='quotation'>Unaendeleaje shuleni?</Swahili label='quotation'>"" so when he starts like that, we: talk like in: Swahili but not that fluent Swahili.   ","It's Dholuo, and at times my dad can call.  And then he starts a conversation ""<English>How are you progressing in school?</English>"" so when he starts like that, we: talk like in: Swahili but not that fluent Swahili.   ",CS,SM: Quotation. 
,,Interviewer,,Mm hh.,Mm hh.,,
,,Alvin,,Yea.,Yea.,,
,,Interviewer,,"(chuckles, smile on his face) When you say ""not that fluent Swahili"" what type of Swahili [uncertain transcription]=","(chuckles, smile on his face) When you say ""not that fluent Swahili"" what type of Swahili [uncertain transcription)=",,
,,Alvin,,"You know fluent Swahili it's like you: <Swahili label='exemplify'>unazingatia kanuni za lugha, sarufi.  Atakuuliza hali ya shule iko vipi, unamwambia</Swahili label='exemplify'> ""we are doing good in school"". <Swahili>Halafu</Swahili> at times I find myself even talking Sheng, at that time.  ","You know fluent Swahili it's like you: <English>You consider the rules of the language, the grammar.  He will ask you about your progress at school and you tell him</English> ""we are doing good in school"". <English>And then</English> at times I find myself even talking Sheng, at that time.  ",CS,SM: Emphasis. OLF: Alvin switches to 'fluent'/standard Swahili to exemplify what he means even as he describes it in language.
,,Interviewer,,Even-even with your dad?!,Even-even with your dad?!,,
,,Alvin,,"Now, for instance he asks me ""<Swahili label='quotation'>unaendeleaje</Swahili label='quotation'> how is school?"" <Swahili label='quotation'>Unaendeleaje</Swahili label='quotation'> how is school.","Now, for instance he asks me ""<English>How are you coming along</English> how is school?"" <English>How are you progressing</English> how is school.",CS,SM: Quotation. 
,,Interviewer,,"Ooh, okay. So he's also mixing.","Ooh, okay. So he's also mixing.",,
,,Alvin,,He's also mixing. ,He's also mixing. ,,
,,Interviewer,,"Yea, yea, yea.","Yea, yea, yea.",,
,,Alvin,,So you find that we don't-it's not that consistent=,So you find that we don't-it's not that consistent=,,
,,Interviewer,,It's not very strict.,It's not very strict.,,
,,Alvin,,Yea.,Yea.,,
,,Interviewer,,Okay. How about with your friends? ,Okay. How about with your friends? ,,
,,Alvin,,"Now with my friends,","Now with my friends,",,
,,Interviewer,,At home.,At home.,,
,,Alvin,,"At home, it depends.  There are friends at times we do talk purely Dholuo.  ","At home, it depends.  There are friends at times we do talk purely Dholuo.  ",,
,,Interviewer,,Purely Dholuo.,Purely Dholuo.,,
,,Alvin,,Dholuo.,Dholuo.,,
,,Interviewer,,"Which is-eh he-so when you say it depends, there are friends you speak Dholuo to.  And others? ","Which is-eh he-so when you say it depends, there are friends you speak Dholuo to.  And others? ",,
,,Alvin,,"And then there are others, when your friend starts a conversation in maybe Sheng, you'll not talk Dholuo to him. You'll also talk in Sheng.  So when-when one starts a conversation in Dholuo, you'll also-","And then there are others, when your friend starts a conversation in maybe Sheng, you'll not talk Dholuo to him. You'll also talk in Sheng.  So when-when one starts a conversation in Dholuo, you'll also-",,
,,Interviewer,,Mm hh.,Mm hh.,,
,,Alvin,,"Talk Dholuo. So that's why I was saying it depends with, yea.","Talk Dholuo. So that's why I was saying it depends with, yea.",,
,,Interviewer,,"Ooh, okay.  What if you are the one starting the conversation?","Ooh, okay.  What if you are the one starting the conversation?",,
,,Alvin,,If I'm the one=,If I'm the one=,,
,,Interviewer,,"Typically, which one do you start with your friends?","Typically, which one do you start with your friends?",,
,,Alvin,,With my friends.,With my friends.,,
,,Interviewer,,"Which language would you start-start off with, at home.","Which language would you start-start off with, at home.",,
,,Alvin,,"At home, it will again depend on what you're talking about.  ","At home, it will again depend on what you're talking about.  ",,
,,Interviewer,,Mm mh. Give me an example <Swahili>na:</Swahili>,Mm mh. Give me an example <English>a:nd</English>,CS,Unmarked.
,,Alvin,,"An example, for instance maybe we are talking about uh, maybe a chic.  Maybe they will see a chic, because where I come from, my setting, we neighbor the Abagusi.  ","An example, for instance maybe we are talking about uh, maybe a chic.  Maybe they will see a chic, because where I come from, my setting, we neighbor the Abagusi.  ",,
,,Interviewer,,Abagusi.,Abagusi.,,
,,Alvin,,"Yea. So maybe you want to talk about a Sheng-uh, I mean uuh a chick who is maybe around, and you don’t want her to like, uuh=","Yea. So maybe you want to talk about a Sheng-uh, I mean uuh a chick who is maybe around, and you don’t want her to like, uuh=",,
,,Interviewer,,She's Kisi.,She's Kisi.,,
,,Alvin,,You don't want her to get what you're saying. ,You don't want her to get what you're saying. ,,
,,Interviewer,,Yea.,Yea.,,
,,Alvin,,"So you might say ""Eh! how do you see her?<Swahili label='emphasis'>unamuonaje?"" Utasema</Swahili label='emphasis'>","So you might say ""Eh! How do you see her?"" <English>How do you see her?"" You'll say</English>=",CS,SM: Emphasis.
,,Interviewer,00:04:00mins,How do you say it in your=,How do you say it in your=,,
,,Alvin,,In my mother tongue utasema you will say <Luo label='exemplification'>inene nade?Inene</Luo label='exemplification'> is like is like <Swahili label='elaboration'>kuona</Swahili label='elaboration'>=,In my mother tongue utasema you will say <English>how do you see her?To see</English> is like-is like <English>to see</English>=,CS,SM: Exemplification and Elaboration
,,Interviewer,,<Swahili>Unamuonaje</Swahili>?,<Swahili>How do you see her</Swahili>?,,
,,Alvin,,<Swahili>Unamuonaje</Swahili>?,<Swahili>Unamuonaje</Swahili>?,,
,,Interviewer,,Eh hee!,Eh hee!,,
,,Alvin,,"So in that particular time, we want to hide that from her.  And then we use=","So in that particular time, we want to hide that from her.  And then we use=",,
,,Interviewer,,And what if she's not within=,And what if she's not within=,,
,,Alvin,,If she's not within=,If she's not within=,,
,,Interviewer,,"Earshot, like she can't hear anyway?","Earshot, like she can't hear anyway?",,
,,Alvin,,"If she can't hear, we'll just talk in? Sheng.  Because conversations, especially in my vernacular, even when maybe you want to like go for a chick <Sheng label='elaboration'>unataka kumchinjia</Shen label='elaboration'g>, it will be very awkward talking to her: umm, I mean you there and you are in vernacular. It would sound so boring.","If she can't hear, we'll just talk in? Sheng.  Because conversations, especially in my vernacular, even when maybe you want to like go for a chick <English>you want to approach her</English>, it will be very awkward talking to her: umm, I mean you there and you are in vernacular. It would sound so boring.",CS,SM: Elaboration. 
,,Interviewer,,So boring. Mm hhm.,So boring. Mm hhm.,,
,,Alvin,,"Yea, so definitely you will talk Sheng. And even here now that I am a Swahili student, I'll not even use the pure Swahili fluent one. Cuz at times=","Yea, so definitely you will talk Sheng. And even here now that I am a Swahili student, I'll not even use the pure Swahili fluent one. Cuz at times=",,
,,Interviewer,,But you know that fluent Swahili?,But you know that fluent Swahili?,,
,,Alvin,,I know it very well.  But I'll not because at that particular time that lady will see you like-it's boring=,I know it very well.  But I'll not because at that particular time that lady will see you like-it's boring=,,
,,Interviewer,,It's boring. ,It's boring. ,,
,,Alvin,,"Yea, <Swahili>unazungumza, wewe umeshindwa unazungumza Kiswahili sanifu atashangaa huyu jamaa</Swahili>, in as much as you know it, but in that particular context, you feel like=","Yea, <English>You speak, you have failed, you are speaking standard Swahili she will be shocked and wonder ""this guy!"" </English>, in as much as you know it, but in that particular context, you feel like=",CS,Unmarked.
,,Interviewer,,"So, what you mean is, this friend will be: not a Swahili student like you, who doesn't speak that Swahili. But what if this student is from the coast for example? ","So, what you mean is, this friend will be: not a Swahili student like you, who doesn't speak that Swahili. But what if this student is from the coast for example? ",,
,,Alvin,,"If he's from the coast, like now, in school.  Here. When we now come back to school, the setting, campus, now when we=","If he's from the coast, like now, in school.  Here. When we now come back to school, the setting, campus, now when we=",,
,,Interviewer,,"Tell me about friends in school, how do you use language?","Tell me about friends in school, how do you use language?",,
,,Alvin,,"Friends in school, uuh, especially the coursemates, we talk fluent, <Swahili label='emphasis'>Kiswahili sanifu maanake tunataka tuwe na uzoefu wa kuzungumza Kiswahili</Swahili label='emphasis'>.  But if now friends maybe: who are not coursemates, we'll always-we at times do talk Sheng.  In as much as English-at times we do talk English but {mostly it's Sheng}.  Yea.","Friends in school, uuh, especially the coursemates, we talk fluent, <English>Standard Swahili because we want to get accustomed to speaking Swahili</English>.  But if now friends maybe: who are not coursemates, we'll always-we at times do talk Sheng.  In as much as English-at times we do talk English but {mostly it's Sheng}.  Yea.",CS,SM: Emphasis. OLF: Alvin switches to 'fluent'/standard Swahili to exemplify what he means even as he describes it in language.
,,Interviewer,,"{mostly it's Sheng}.  Aah okay. And eh:, how about English? Do you think English is an important language for anyone to know?","{mostly it's Sheng}.  Aah okay. And eh:, how about English? Do you think English is an important language for anyone to know?",,
,,Alvin,,English I think uh:,English I think uh:,,
,,Interviewer,,Is it important for you to know English?,Is it important for you to know English?,,
,,Alvin,00:06:00mins,"Definitely? Because right now in the setting-uuh-an English is spoken wide-uh-widely, spoken widely.  And uuh, for any person, uuh-for instance you might get an opportunity to travel to the UK.  So you can imagine that scenario you're there and you-like you don't even speak any of the broken one or maybe you speak-because English there are people who speak English but it now depends on levels.  There are those who just speak English for the purpose aah <Swahili>aonekane kwamba anazungumza kingereza lakini kuna wale ambao watazungumza mwenyewe unaona huyu jamaa ana umilisi</Swahili>","Definitely? Because right now in the setting-uuh-an English is spoken wide-uh-widely, spoken widely.  And uuh, for any person, uuh-for instance you might get an opportunity to travel to the UK.  So you can imagine that scenario you're there and you-like you don't even speak any of the broken one or maybe you speak-because English there are people who speak English but it now depends on levels.  There are those who just speak English for the purpose aah <English>of looking like he speaks English.  But there are those who will speak and you yourself will see ""this guy is an expert""</English>",CS,Unmarked.
,,Interviewer,,Mm mmh,Mm mmh,,
,,Alvin,,Yea.  So I think=,Yea.  So I think=,,
,,Interviewer,,Anafahamu.,Anafahamu.,,
,,Alvin,,"Anafahamu. So: I think it's very important to-to learn English. And uh, =","Anafahamu. So: I think it's very important to-to learn English. And uh, =",,
,,Interviewer,00:06:48mins,"But when you say that-you said that if you want to travel to the UK, you need the English.","But when you say that-you said that if you want to travel to the UK, you need the English.",,
,,Alvin,,Yea-yea-I mean=,Yea-yea-I mean=,,
,,Interviewer,,"How about when want to-you travel to Spain, you get a chance to go to Spain, why not learn-why don't you want to know Spanish, for example? (smiling)","How about when want to-you travel to Spain, you get a chance to go to Spain, why not learn-why don't you want to know Spanish, for example? (smiling)",,
,,Alvin,,"No. Right now I think we've been cultured. We've given a lot of prominence, in our-in our own setting the way we've been brought up, we've been given a lot of-we've given a lot of prominence to English as compared to these other languages.  And average you'll find that in Kenya if you were to: maybe carry out a research.  You'll find that uh, the majority-uuh, the majority of the Kenyan population speak English as compared to Swahili.  Most people shy away from speaking in Swahili. Which is again=","No. Right now I think we've been cultured. We've given a lot of prominence, in our-in our own setting the way we've been brought up, we've been given a lot of-we've given a lot of prominence to English as compared to these other languages.  And average you'll find that in Kenya if you were to: maybe carry out a research.  You'll find that uh, the majority-uuh, the majority of the Kenyan population speak English as compared to Swahili.  Most people shy away from speaking in Swahili. Which is again=",,
,,Interviewer,,What do you think are the reasons for that?,What do you think are the reasons for that?,,
,,Alvin,,Now the reasons for that=,Now the reasons for that=,,
,,Interviewer,,Do you think it's a good thing?,Do you think it's a good thing?,,
,,Alvin,,"It's not a-it's not a good thing because uh-for anybody who is supposed to be: multi-lingual or tri-lingual if there is a word like that, ","It's not a-it's not a good thing because uh-for anybody who is supposed to be: multi-lingual or tri-lingual if there is a word like that, ",,
,,Interviewer,,"Yea. Mm mhh. There is, because if you speak two languages, you're-you're-you're bi-lingual.","Yea. Mm mhh. There is, because if you speak two languages, you're-you're-you're bi-lingual.",,
,,Alvin,,Bilingual.,Bilingual.,,
,,Interviewer,,If you speak three trilingual.  ,If you speak three trilingual.  ,,
,,Alvin,,"Trilingual, yea.","Trilingual, yea.",,
,,Interviewer,,But multi-lingual is now more than three.,But multi-lingual is now more than three.,,
,,Alvin,00:08:00mins,"Ok.  So for you uh-I mean uuh, the Swahili, the reason why people like shy away. Especially for now-in my-let me take from perspective-my: context, the Luo context.  One, the Luo people associate Swahili with the people who come from the coast.","Ok.  So for you uh-I mean uuh, the Swahili, the reason why people like shy away. Especially for now-in my-let me take from perspective-my: context, the Luo context.  One, the Luo people associate Swahili with the people who come from the coast.",,
,,Interviewer,,Mm mh.,Mm mh.,,
,,Alvin,,"And people who come from the coast <Swahili>wanaonekana ni watu wajanja. Watu ambao labda minendo yao sio mizuri.  Sasa ukienda kule uanze kuzungumza Kiswahili sanifu, uuh, wale: waliozeeka katika jamaa wataona huyu jamaa ulienda Mombasa ukajifunza na</Swahili>. They'll associate you with-like you:=","And people who come from the coast <English>they look like crafty people.  People whose ways are maybe not good.  So if you go there and start speaking standard Swahili, uuh, those elders among the community will think ""this guy you went to Mombasa and you learned""</English>.  They'll associate you with-like you:=",CS,Unmarked.
,,Interviewer,,Some form of=,Some form of=,,
,,Alvin,,"Form of you:, like you go away to the coast and you've been <Swahili>umeanza kuwa kama wale Waswahili</Swahili>.  And apart from that, when you now start speaking Swahili in my community,<Swahili> watahusisha na Uislamu</Swahili>. And in my community majori-i:in as much as <Swahili>siku hizi kuna watu ambao siku hizi wamekuwa Waislamu, lakini watu wengi si Waislamu. Kwa hivyo wataona kwamba mtu yoyote tu, (uncertain transcription) mtu yoyote anayezungumza Kiswahili anaonekana kwamba ni</Swahili>=","Form of you:, like you go away to the coast and you've been <English>you have started to become like those Swahili people</English>.  And apart from that, when you now start speaking Swahili in my community,<English> they will associate it with Islam</English>. And in my community majori-i:in as much as <English>these days there are people who have become Moslems, but many people are not Moslems.  Therefore they will see that anybody (uncertain transcription) anybody who speaks Swahili looks like a </English>=",CS,Unmarked.
,,Interviewer,,{<Swahili>Muislamu</Swahili>},{<English>Moslem</English>},CS,
,,Alvin,,"{<Swahili label='accomodation'>Muislamu</Swahili label='accomodation'>}.  Apart from that, another reason people shy away from speaking in-in: Kiswahili, because uh,uh, when uuh: it dates back to:-it's something that has been there since time immemorial. It dates back to: when uuh:-when the-the-when the colonies came to Kenya.  Uuh=","{<English>Moslem</English>}.  Apart from that, another reason people shy away from speaking in-in: Kiswahili, because uh,uh, when uuh: it dates back to:-it's something that has been there since time immemorial. It dates back to: when uuh:-when the-the-when the colonies came to Kenya.  Uuh=",CS,SM: Accomodation.
,,Interviewer,,You mean the British.,You mean the British.,,
,,Alvin,,"The British. Uuh, they were-you know there were two competing religions. Islamic and Christianity.","The British. Uuh, they were-you know there were two competing religions. Islamic and Christianity.",,
,,Interviewer,,And Christianity. ,And Christianity. ,,
,,Alvin,,"So when they saw that ""when we make these people speak in Kiswahili, we are promoting Islamic. Because most of words, in Kiswahili are borrowed from <Swahili label='elaboration'>maneno mengi, yamekopwa kutoka kwa: Kiarabu. Kwa hivyo waliona kwamba tuki imiza hawa [uncertain transcription]</Swahili label='elaboration'>= ","So when they saw that ""when we make these people speak in Kiswahili, we are promoting Islamic. Because most of words, in Kiswahili are borrowed from <English>many words, have been borrowed from Arabic.  So they saw that if we encourage these [people][uncertain transcription]</English>= ",CS,SM: Elaboration. 
,,Interviewer,,"Aaah, so that negative attitude eh? ","Aaah, so that negative attitude eh? ",,
,,Alvin,,It has been there=,It has been there=,,
,,Interviewer,,"Eh hee!  I never thought of that, yea, it's true.","Eh hee!  I never thought of that, yea, it's true.",,
,,Alvin,,"That is how people have -it has been there, and we like in generations we are really transmitting it to other generations. ","That is how people have -it has been there, and we like in generations we are really transmitting it to other generations. ",,
,,Interviewer,,Mm mmh,Mm mmh,,
,,Alvin,,Yea.,Yea.,,
,,Interviewer,00:10:00mins,"Okay, that's a very good explanation. Eeeh, how about-how about native language?","Okay, that's a very good explanation. Eeeh, how about-how about native language?",,
,,Alvin,,My native=,My native=,,
,,Interviewer,,"Like your Dholuo, do you think it's important to know a native lang-for anyone to know a native language?","Like your Dholuo, do you think it's important to know a native lang-for anyone to know a native language?",,
,,Alvin,,"Definitely, I think it's very important.  ","Definitely, I think it's very important.  ",,
,,Interviewer,,Mm mmh. How-how is that important? Why do you think it's important?,Mm mmh. How-how is that important? Why do you think it's important?,,
,,Alvin,,"Well for one, it's because of uuh:-you know you need to interact and for you to interact you need to be multi-dimensional. Anybody for you to grow in a society you need to be multi-dimensional.  ","Well for one, it's because of uuh:-you know you need to interact and for you to interact you need to be multi-dimensional. Anybody for you to grow in a society you need to be multi-dimensional.  ",,
,,Interviewer,,Yea.,Yea.,,
,,Alvin,,"In a sense that, in as much as you might learn and get your maybe you get your undergraduate, you go to masters, get a PhD.  There's a time you'll have to come into contact with your people.  ","In a sense that, in as much as you might learn and get your maybe you get your undergraduate, you go to masters, get a PhD.  There's a time you'll have to come into contact with your people.  ",,
,,Interviewer,,Mm mmh.,Mm mmh.,,
,,Alvin,,"And you can imagine a scenario you'll go maybe attend-to attend a funeral or it's a gathering that has maybe different people from all walks of life.  There are those people who don't know Kiswahili, those old people at home.  So you can imagine you are speaking to them in English, and they are people who never saw the classrooms.  So it's very important for you to know. Apart from that, each person should be able to trace his origin and know the culture, where you come from.  And there's no way I'm going to know Dholuo, if I don't know have-the culture of the Luo, if I don't know Dholuo-the language itself.  ","And you can imagine a scenario you'll go maybe attend-to attend a funeral or it's a gathering that has maybe different people from all walks of life.  There are those people who don't know Kiswahili, those old people at home.  So you can imagine you are speaking to them in English, and they are people who never saw the classrooms.  So it's very important for you to know. Apart from that, each person should be able to trace his origin and know the culture, where you come from.  And there's no way I'm going to know Dholuo, if I don't know have-the culture of the Luo, if I don't know Dholuo-the language itself.  ",,
,,Interviewer,,"But there are people who are born in Nairobi, ","But there are people who are born in Nairobi, ",,
,,Alvin,,Yea.,Yea.,,
,,Interviewer,,"Their parents are even born in Nairobi,","Their parents are even born in Nairobi,",,
,,Alvin,,In Nairobi ,In Nairobi ,,
,,Interviewer,,"There are even grandparents probably born in Nairobi and then their parents, then themselves, in Nairobi.  Don't you think those people-and they don't speak their-their {native languages} ","There are even grandparents probably born in Nairobi and then their parents, then themselves, in Nairobi.  Don't you think those people-and they don't speak their-their {native languages} ",,
,,Alvin,,{native languages},{native languages},,
,,Interviewer,,"Yea, they are there.  Have you encountered such people?","Yea, they are there.  Have you encountered such people?",,
,,Alvin,,Yea I have.,Yea I have.,,
,,Interviewer,,"So, do you think they don’t have an origin?","So, do you think they don’t have an origin?",,
,,Alvin,,They definitely have. They have.,They definitely have. They have.,,
,,Interviewer,,"Because you said language, you need to know it because of=","Because you said language, you need to know it because of=",,
,,Alvin,,"Now that is to-it is that identity to aah-I mean to some co-to some-some-I mean aah, to some context.  But rather, its very important because right now, in as much as uh-if you look at the system, the government system right now, there's that devolution.","Now that is to-it is that identity to aah-I mean to some co-to some-some-I mean aah, to some context.  But rather, its very important because right now, in as much as uh-if you look at the system, the government system right now, there's that devolution.",,
,,Interviewer,,Mm mhh.,Mm mhh.,,
,,Alvin,,"So devolution means you can be taken-you might land in a job in maybe your home county, so in your home co=","So devolution means you can be taken-you might land in a job in maybe your home county, so in your home co=",,
,,Interviewer,,A rural setting. ,A rural setting. ,,
,,Alvin,,A rural setting.  ,A rural setting.  ,,
,,Interviewer,,"So for you, it seems like the native language is important in that rural setting. ","So for you, it seems like the native language is important in that rural setting. ",,
,,Alvin,,Yea.,Yea.,,
,,Interviewer,,"But when you go to Nairobi or come to Moi University, it's not that-there's no importance really. ","But when you go to Nairobi or come to Moi University, it's not that-there's no importance really. ",,
,,Alvin,,It's-it's=,It's-it's=,,
,,Interviewer,,Is that what you mean?,Is that what you mean?,,
,,Alvin,00:12:22mins,"No, I’m not ruling out that. It's equally important. Because, for one there was a time you need like-you should-you should maybe belong somewhere.  For instance you might want something to-to share, with people or maybe people who come from your home [uncertain transcription].  So at that particular point you share. Because it-for in-for instance in the universities there are those tribal associations-I don't know-they are there. You find maybe there's 90 county student associations I don't know it's a form of=","No, I’m not ruling out that. It's equally important. Because, for one there was a time you need like-you should-you should maybe belong somewhere.  For instance you might want something to-to share, with people or maybe people who come from your home [uncertain transcription].  So at that particular point you share. Because it-for in-for instance in the universities there are those tribal associations-I don't know-they are there. You find maybe there's 90 county student associations I don't know it's a form of=",,
,,Interviewer,,Do you think it's a good thing? To have these rural=,Do you think it's a good thing? To have these rural=,,
,,Alvin,,"I don't think uuh:-in as much as it's supposed to be there, but I don’t think it's a good idea.  Because for one, when you-when people meet there, they speak purely.  I've att-I once attended mine. Yea, it's called [uncertain transcription, sounds like Radutha Rachura District]","I don't think uuh:-in as much as it's supposed to be there, but I don’t think it's a good idea.  Because for one, when you-when people meet there, they speak purely.  I've att-I once attended mine. Yea, it's called [uncertain transcription, sounds like Radutha Rachura District]",,
,,Interviewer,,Yea. ,Yea. ,,
,,Alvin,,So I once attended.  People speak purely=,So I once attended.  People speak purely=,,
,,Interviewer,,Dholuo.,Dholuo.,,
,,Alvin,,Dholuo.,Dholuo.,,
