Name of the file,Topic,Participant,CN,Dialogue,Translation,CSs/s,Comments,
130619_002,Language,Interviewer,00:00,"Welcome to today's eeh, conversation.","Welcome to today's eeh, conversation.",,,
,,Amanda,,Tha:nk you!,Tha:nk you!,,,
,,Interviewer,,"Eeh, these questions want us to know how people use language <Swahili>kila siku</Swahili> [uncertain transcription] <Swahili>ukitumia</Swahili> language <Swahili>ukiwa nyumbani, ukiwa kwa</Swahili> job, <Swahili>na watu wenye unatumia lugha nao</Swahili>.","Eeh, these questions want us to know how people use language <English>everyday</English> [uncertain transcription] <English>if you use<English> language <English>when you are home, when you are at</English> job, <English>and people who you use the language with</English>.",CS,Unmarked.,
,,Amanda,,<Swahili>Naam</Swahili>.,<English>Yes</English>.,,,
,,Interviewer,,"<Swahili>Saa, wewe utumia lugha gani nyumbani, na wazazi</Swahili>.  Family <Swahili>wazazi</Swahili>, brothers, sisters? ","<English>Now, what language do you use at home, with parents</English>. Family, <English>parents</English>, brothers, sisters? ",CS,Unmarked.,
,,Amanda,,"Aa, when it comes to: my siblings, we use <Swahili>Kiswahili-Kizungu</Swahili>.","Aa, when it comes to: my siblings, we use <English>Swahili-English</English>.",CS,Unmarked.,
,,Interviewer,,<Swahili>Kiswahili-Kizungu?</Swahili>,<English>Swahili-English</English>?,,,
,,Amanda,,"<Swahili>Eeh.  Kiswahili unachanganya Kizungu, hauenda sarufi sio yenye sahihi</Swahili>.  Then when it comes to: my parents, <Swahili label='refereeing'>eeh, mama anashida na Kiswahili, baba anashida na Kiswahili</Swahili label='refereeing'>. So you either choose to speak in English or mother tongue. <Swahili>Ikifika kwa</Swahili> mother tongue, I can use Kimeru or Kikuyu.","<English>Eeh.  Swahili you mix it with English, you will end with incorrect grammar</English>.  Then when it comes to: my parents, <English>eeh, Mom has problems with Swahili, Dad has problems with Swahili</English>. So you either choose to speak in English or mother tongue. <English>When it comes to </English> mother tongue, I can use Kimeru or Kikuyu.",CS,SM: Refereeing. OLF: Amanda may have switched to Swahili when speaking of her parents' challenges with the Swahili language out of respect for them. The critique may sound softer in Swahili then in English. ,
,,Interviewer,,Mmh hhm.,Mmh hhm.,,,
,,Amanda,,Yes.,Yes.,,,
,,Interviewer,,Mmm.  <Swahili>Na marafiki je</Swahili>?,Mmm.  <English>How about with friends</English>?,,,
,,Amanda,,"<Swahili label='accomodation'>Marafiki, kama ni:</Swahili label='accomodation'>classmates <Swahili>wangu</Swahili>, those ones it comes automatically that I speak Kiswahili now that I'm a Kiswahili student.  But outside the class context <Swahili>ni Kiswahili-Kizungu bado</Swahili>.","<English>Friends, if it is</English>classmates <English>of mine</English>, those ones it comes automatically that I speak Kiswahili now that I'm a Kiswahili student.  But outside the class context <English>it is Swahili-English still</English>.",CS,SM: Accomodation,
,,Interviewer,,<Swahili>Kiswahili-Kizungu</Swahili>?,<English>Swahili-English</English>?,,,
,,Amanda,,Eeh. ,Eeh. ,,,
,,Interviewer,,"Okay, <Swahili>na ni marafiki wa hapa shuleni na wa nyumbani?  Sababu kuna marafiki wa shuleni-</Swahili>","Okay, <English>and is it friends from here at school or from home?  Because there are school friends-</English>",CS,Unmarked.,
,,Amanda,,<Swahili>Wa shuleni</Swahili>.,<English>Of school</English>.,,,
,,Interviewer,,<Swahili>Marafiki wa nyumbani</Swahili>.,<English>Friends from home?</English>.,,,
,,Amanda,,"Eeh.  <Swahili label='accomodation'>Sasa isipokuwa darasani, kwingineko ni: Kiswahili kidogo</Swahili label='accomodation'>. I hardly use eeh, mother tongue with friends.","Eeh.  <English>Now if it's not in class, elsewhere it is a little bit of Swahili</English>. I hardly use eeh, mother tongue with friends.",CS,SM: Accomodation,
,,Interviewer,,Okay.,Okay.,,,
,,Amanda,,"Bearing in mind that <Swahili>si kila mtu anaweza akaongea Kikuyu, si kila mtu anaweza akazungumza Kimeru.  Lakini:</Swahili> in general, we can speak Kiswahili. <Swahili>Na si Kiswahili sanifu ama Kiswahili</Swahili> throughout <Swahili>ama</Swahili> English throughout. <Swahili>Unachanganya tu, si Sheng, si Engs, si-haina jina</Swahili>. ","Bearing in mind that <English>it's not everyone that can speak Kikuyu, not everyone can speak Kimeru.  But</English> in general, we can speak Kiswahili. <English>And not standard Swahili or Swahili</English> throughout <English>or </English> English throughout. <English>You just mix, it is not Sheng, not Engs, not-it has no name</English>. ",CS,Unmarked.,
,,Interviewer,,Okay. <Swahili>Na:</Swahili> do you think it's important <Swahili>kujua</Swahili> English?,Okay. <English>And</English> do you think it's important <English>to know<English> English?,CS,Unmarked.,
,,Amanda,,Yes.,Yes.,,,
,,Interviewer,,Mmh. Why?,Mmh. Why?,,,
,,Amanda,00:02:05mins,"Eeh, for various reasons. <Swahili>Kwa mfano mimi ni mwanafunzi. Hapa shuleni</Swahili> most of-ah-now that I'm a Kiswahili student, most of my courses are in Kiswahili.  But there are others, which we are taught and examined in Kiswahili. So in the first place as a student I should know Kiswahili. <Swahili>Halafu natazania baada ya masomo, nijiunge na wanahabari</Swahili>. So it's good to be diverse, as much as I'm majoring in Kiswahili, I also need the English. And then there is a probability of travelling in countries which do no use Kiswahili, and they don't use any of the mother tongues that I speak. So Kiswahili is still-I mean English is needed.","Eeh, for various reasons. <English>For example, I am a student.  Here in school,</English> most of-ah-now that I'm a Kiswahili student, most of my courses are in Kiswahili.  But there are others, which we are taught and examined in Kiswahili. So in the first place as a student I should know Kiswahili. <English>And then I am looking into after my studies, I will join  journalists</English>. So it's good to be diverse, as much as I'm majoring in Kiswahili, I also need the English. And then there is a probability of travelling in countries which do no use Kiswahili, and they don't use any of the mother tongues that I speak. So Kiswahili is still-I mean English is needed.",CS,Unmarked.,
,,Interviewer,,"Okay, so the motivation fo:r, kujua English is because of the benefits you get from the language?","Okay, so the motivation fo:r, kujua English is because of the benefits you get from the language?",,,
,,Amanda,,Yes.,Yes.,,,
,,Interviewer,,Ok.,Ok.,,,
,,Amanda,,"Apart from <Swahili>ile</Swahili> fact <Swahili>ya nilizaliwa ikawa</Swahili> it's a compulsary subject.  Now if I want to choose-whe-if to learn English, now those are the factors that would motivate me.<Swahili>Kazi, unaweza ukapata kwenye Kizungu kinahitajika</Swahili>. Exams, and for travelling purposes.","Apart from <English>that</English> fact <English>of I was born it became </English> it's a compulsary subject.  Now if I want to choose-whe-if to learn English, now those are the factors that would motivate me.<English>Work, you can get it where English is needed</English>. Exams, and for travelling purposes.",CS,Unmarked.,
,,Interviewer,,"Ok. What about in school? <Swahili>Sasa kama</Swahili> formal settings, <Swahili>kama hapa sasa</Swahili> campus, <Swahili>unatumia lugha gani?</Swahili> [uncertain transcription] <Swahili>kwa darasa mkiwa na</Swahili> lecturers <Swahili>na</Swahili> students? <Swahili>Hivo</Swahili>.","Ok. What about in school? <English>Now if it's </English> formal settings, <English>like here not in</English> campus, <English>what language do you use?</English> [uncertain transcription] <English>in the class when you are with</English> lecturers <English>and</English> students? <English>Like that</English>.",CS,Unmarked.,
,,Amanda,,Ninety-nine percent of my official time in school I use Kiswahili. ,Ninety-nine percent of my official time in school I use Kiswahili. ,,,
,,Interviewer,,Ninety-nine percent.,Ninety-nine percent.,,,
,,Amanda,,"Ninety-nine percent. <Swahili>Sasa wakati niko: mahali kama kanisani</Swahili>, because I'm also a leader in church, that's where I speak English. <Swahili label='high expertise'>Nikiongea Kiswahili ni ya kutisha tu kidogo</Swahili label='high expertise'>. ","Ninety-nine percent. <English>Now at times when I am at a place like church</English>, because I'm also a leader in church, that's where I speak English. <English>If I speak Swahili, it is to scare you a little bit</English>. ",CS,SM: High Expertise. OLF: Amanda uses Swahili slang in expressing her high level of Swahil expertise.,
,,Interviewer,,(giggles) Okay. <Swahili>Na unafikiria ni</Swahili> important <Swahili>kujua</Swahili> native language?,(giggles) Okay. <English>And do you think it is </English> important <English>to know</English> native language?,CS,Unmarked.,
