Name of the file,Topic,Participant,CN,Dialogue,Translation,CSs,Comments,
130621_004,Language,Interviewer,00:00,"So thank you for making time, to:-for this conversation about your.. language use.","So thank you for making time, to:-for this conversation about your.. language use.",,,
,,Amanda,,Thank you too.,Thank you too.,,,
,,Interviewer,,"Yea. So you're welcome and uuh, we'll start with, we have a few questions that we'll go through, okay, and feel free to use any language you feel like using.  And then eh..yea-just say anything. It doesn't have to be answering the question, yea, specifically. You have anything you want to add, just-it's a discussion. Yea.","Yea. So you're welcome and uuh, we'll start with, we have a few questions that we'll go through, okay, and feel free to use any language you feel like using.  And then eh..yea-just say anything. It doesn't have to be answering the question, yea, specifically. You have anything you want to add, just-it's a discussion. Yea.",,,
,,Amanda,,Yea. ,Yea. ,,,
,,Interviewer,,"So let's start by:- I want to know, what language do you use, with your family?","So let's start by:- I want to know, what language do you use, with your family?",,,
,,Amanda,,"Eeh: when it comes to my family,","Eeh: when it comes to my family,",,,
,,Interviewer,,Yea.,Yea.,,,
,,Amanda,,"It depends o-okay, I have a weird family set up. My {mother}=","It depends o-okay, I have a weird family set up. My {mother}=",,,
,,Interviewer,,{Weird? Mm hm?},{Weird? Mm hm?},,,
,,Amanda,,is a Kikuyu.,is a Kikuyu.,,,
,,Interviewer,,Yes.,Yes.,,,
,,Amanda,,My father is a Meru.,My father is a Meru.,,,
,,Interviewer,,Mm hmm.,Mm hmm.,,,
,,Amanda,,"And uh, they both don't like Kiswahili, which is my favorite language.  ","And uh, they both don't like Kiswahili, which is my favorite language.  ",,,
,,Interviewer,,Mm hmm.,Mm hmm.,,,
,,Amanda,,So:=,So:=,,,
,,Interviewer,,So how do they communicate themselves?  Between=,So how do they communicate themselves?  Between=,,,
,,Amanda,,The:y=,The:y=,,,
,,Interviewer,,Or is it-is Meru and Kikuyu related?,Or is it-is Meru and Kikuyu related?,,,
,,Amanda,,"Yea, if you hear Kikuyu, you don't find it hard to understand Kimeru plus they have lived at-uuh the various places where Kimeru is spoken and Kikuyu is spoken.  And I live in Nanyuki where Kikuyu is dominant. So: they can speak in Kikuyu. But since we were young, there's a-okay I was born in-I was born in Nanyuki then brought up in Meru for some-quite some time, so when I was there I couldn't speak in English or Kiswahili. So when we shifted in Nanyuki, you know now in school answering the questions, talking to other-uh, the neighbor's kids, it was a problem. So since-since then, there was a rule that if you want to be heard you should either speak in Kiswahili or English.","Yea, if you hear Kikuyu, you don't find it hard to understand Kimeru plus they have lived at-uuh the various places where Kimeru is spoken and Kikuyu is spoken.  And I live in Nanyuki where Kikuyu is dominant. So: they can speak in Kikuyu. But since we were young, there's a-okay I was born in-I was born in Nanyuki then brought up in Meru for some-quite some time, so when I was there I couldn't speak in English or Kiswahili. So when we shifted in Nanyuki, you know now in school answering the questions, talking to other-uh, the neighbor's kids, it was a problem. So since-since then, there was a rule that if you want to be heard you should either speak in Kiswahili or English.",,,
,,Interviewer,,"Mmm, {so is a-it was  rule?} (light laughter)","Mmm, {so is a-it was  rule?} (light laughter)",,,
,,Amanda,,"{So:} Yes.  So now f:or my siblings and I we-we can use English or Kiswahili from that point, up to date.","{So:} Yes.  So now f:or my siblings and I we-we can use English or Kiswahili from that point, up to date.",,,
,,Interviewer,,Mm hmm. But you-you also speak Kikuyu {and you also speak Kimeru},Mm hmm. But you-you also speak Kikuyu {and you also speak Kimeru},,,
,,Amanda,,"{Yes, I can speak Kikuyu and I can speak Kimeru} yes. But it comes automatically we:-uh converse in English or Kiswahili.  Whereby my parents if you don't use Kikuyu or Kimeru you'd rather use English. They don't {use Kiswahili}.","{Yes, I can speak Kikuyu and I can speak Kimeru} yes. But it comes automatically we:-uh converse in English or Kiswahili.  Whereby my parents if you don't use Kikuyu or Kimeru you'd rather use English. They don't {use Kiswahili}.",,,
,,Interviewer,,{Not Kiswahili},{Not Kiswahili},,,
,,Amanda,,Yes.,Yes.,,,
,,Interviewer,,Is it because Kiswahili is more difficult {do you think}?,Is it because Kiswahili is more difficult {do you think}?,,,
,,Amanda,,"{They:} talk of it being so hard, <Swahili>""Kiswahili ni ngumu""</Swahili>. And you know following all those ah-<Swahili>kaida za lugha ya Kiswahili</Swahili> becomes tough on them. Yea.","{They:} talk of it being so hard, <English>""Swahili is hard""</English>. And you know following all those ah-<English>principles of the Swahili language</English> becomes tough on them. Yea.",,,
,,Interviewer,00:02:42mins,"Mm hmm.  How about-with your friends at home, which-which eh language do you use? Or languages?","Mm hmm.  How about-with your friends at home, which-which eh language do you use? Or languages?",,,
,,Amanda,,"With uh, my friends, sometimes you mix <Swahili>Kiswahili Kizungu hapa na pale</Swahili>. And uh then there are those who stick uh, to English Kiswahili has no funds as such. So I find myself mixing Kiswahili and English and uh=","With uh, my friends, sometimes you mix <English>Swahili-English here and there</English>. And uh then there are those who stick uh, to English Kiswahili has no funds as such. So I find myself mixing Kiswahili and English and uh=",,,
,,Interviewer,,Or just English.,Or just English.,,,
,,Amanda,,"Or just English, and some Sheng here and there.","Or just English, and some Sheng here and there.",,,
,,Interviewer,,"Kikuyu no, not at all? {With your} friends at home?","Kikuyu no, not at all? {With your} friends at home?",,,
,,Amanda,,"{Kikuyu}, if you can speak Kikuyu {then  we can speak}-","{Kikuyu}, if you can speak Kikuyu {then  we can speak}-",,,
,,Interviewer,,{Because you said} Nanyuki is Kikuyu=,{Because you said} Nanyuki is Kikuyu=,,,
,,Amanda,,Dominantly. Yes.,Dominantly. Yes.,,,
,,Interviewer,,"Soo, you sometimes you also speak {Kikuyu to your friends?}","Soo, you sometimes you also speak {Kikuyu to your friends?}",,,
,,Amanda,,"{Yes sometimes I also-}which is uh, rare.  ","{Yes sometimes I also-}which is uh, rare.  ",,,
,,Interviewer,,{Rare?},{Rare?},,,
,,Amanda,,{People-}people hardly use vernacular=,{People-}people hardly use vernacular=,,,
,,Interviewer,00:03:22mins,"Why? Because-is it that they feel ""ai, this one is too:, I'm too local. Or ah-what-what is it? (she is giggling in the background)","Why? Because-is it that they feel ""ai, this one is too:, I'm too local. Or ah-what-what is it? (she is giggling in the background)",,,
,,Amanda,,"And uh: then there's this notion Nanyuki is a: interacial, interlingual town, so even when you speak your mother tongue not only Kikuyu, it feels like you're being too tribalistic.  ","And uh: then there's this notion Nanyuki is a: interacial, interlingual town, so even when you speak your mother tongue not only Kikuyu, it feels like you're being too tribalistic.  ",,,
,,Interviewer,,Okay. (he yawns),Okay. (he yawns),,,
,,Amanda,,People avoid the languages.,People avoid the languages.,,,
,,Interviewer,,You don't want to be seen as being a tribal kind of person?,You don't want to be seen as being a tribal kind of person?,,,
,,Amanda,,Yes.,Yes.,,,
,,Interviewer,,What happens when it comes to school? When you are now in school?  Here in campus?,What happens when it comes to school? When you are now in school?  Here in campus?,,,
,,Amanda,,"When I'm ah, here in campus,","When I'm ah, here in campus,",,,
,,Interviewer,,"Yes, which languages do you use?","Yes, which languages do you use?",,,
,,Amanda,,"Let me: divide my friends into two.  There are my classmates who are my friends. Aah, for those ones we use pure Swahili.","Let me: divide my friends into two.  There are my classmates who are my friends. Aah, for those ones we use pure Swahili.",,,
,,Interviewer,,Pure Swahili.,Pure Swahili.,,,
,,Amanda,,"Yea, because they are my classmates we are {Kiswahili majors-}","Yea, because they are my classmates we are {Kiswahili majors-}",,,
,,Interviewer,,{Oh you are Swahili majors},{Oh you are Swahili majors},,,
,,Amanda,,"Yes. So those ones if I meet you on the way it comes automatically,","Yes. So those ones if I meet you on the way it comes automatically,",,,
,,Interviewer,,Not just in class? Even=,Not just in class? Even=,,,
,,Amanda,,Even in class when I come to see you in your room we feel=,Even in class when I come to see you in your room we feel=,,,
,,Interviewer,,Ah you feel=,Ah you feel=,,,
,,Amanda,,Naturally Kiswahili.,Naturally Kiswahili.,,,
,,Interviewer,,Even if one of them or two of them is a Kikuyu?,Even if one of them or two of them is a Kikuyu?,,,
,,Amanda,,"Yes, even if one is a Kikuyu or a Meru which I can speak,","Yes, even if one is a Kikuyu or a Meru which I can speak,",,,
,,Interviewer,,Yea.,Yea.,,,
,,Amanda,,"We:-we all understand English. But you will find that when it's um, my classmates, it becomes Kiswahili.","We:-we all understand English. But you will find that when it's um, my classmates, it becomes Kiswahili.",,,
,,Interviewer,,Is this  a rule that you made or is it just-,Is this  a rule that you made or is it just-,,,
,,Amanda,,"No, we: it's exciting plus not very many people use Kiswahili, and if they use Kiswahili=","No, we: it's exciting plus not very many people use Kiswahili, and if they use Kiswahili=",,,
,,Interviewer,,"So this is also something of, {Swahili [uncertain transcription]}-","So this is also something of, {Swahili [uncertain transcription]}-",,,
,,Amanda,,{Identification yes-},{Identification yes-},,,
,,Interviewer,,"A grouping that you want to-to show, or you want to lock out these others who don't=","A grouping that you want to-to show, or you want to lock out these others who don't=",,,
,,Amanda,,"No, we don’t lock out-you know everyone has lifted up English and other foreign languages up there so that Kiswahili has {no space}","No, we don’t lock out-you know everyone has lifted up English and other foreign languages up there so that Kiswahili has {no space}",,,
,,Interviewer,,{So you feel that its' your mission as Swahili messa-majors to-to:,{So you feel that its' your mission as Swahili messa-majors to-to:,,,
,,Amanda,,Yes. Yes.,Yes. Yes.,,,
,,Interviewer,,"Ah okay, so I think that's a good thing.","Ah okay, so I think that's a good thing.",,,
,,Amanda,,"So, if it's my classmates no-","So, if it's my classmates no-",,,
,,Interviewer,00:05:15mins,What do others say about that? [uncertain transcription],What do others say about that? [uncertain transcription],,,
,,Amanda,,"No they just gaze like-I'm from doing a presentation. And it happened that my twelve member group..um, constituted of Swahili majors and-you know people cock, silent ""let's listen to them. <Swahili>Waswahili, wataalamu wa lugha wa sanii</Swahili>""=","No they just gaze like-I'm from doing a presentation. And it happened that my twelve member group..um, constituted of Swahili majors and-you know people cock, silent ""let's listen to them. <English>The Swahili, the language experts, the artists<English>""=",,,
,,Interviewer,,"Eeh, and you were actually presenting in Kiswahili?","Eeh, and you were actually presenting in Kiswahili?",,,
,,Amanda,,Yes everything. From introduction to your identification is in Kiswahili. ,Yes everything. From introduction to your identification is in Kiswahili. ,,,
,,Interviewer,,Mmm hmm.,Mmm hmm.,,,
,,Amanda,,"So when it comes to my classmates, we use Kiswahili. It's not a rule. We didn't actually sit down one day and decide-it","So when it comes to my classmates, we use Kiswahili. It's not a rule. We didn't actually sit down one day and decide-it",,,
,,Interviewer,,"It just comes just like that, it's like=","It just comes just like that, it's like=",,,
,,Amanda,,Even when you meet other years like first years=,Even when you meet other years like first years=,,,
,,Interviewer,,Who are also Kiswahili majors?,Who are also Kiswahili majors?,,,
,,Amanda,,"Yea, you speak Kiswahili. It comes-from the greetings=","Yea, you speak Kiswahili. It comes-from the greetings=",,,
,,Interviewer,,So it's a departmental thing?,So it's a departmental thing?,,,
,,Amanda,,"Yes, {I could say that}","Yes, {I could say that}",,,
,,Interviewer,,{A Swahili department thing}. Mmm.,{A Swahili department thing}. Mmm.,,,
,,Amanda,00:06:05mins,"But ah, when it comes to my other friends, you can uh, use Kiswahili definitely a lighter version of it,","But ah, when it comes to my other friends, you can uh, use Kiswahili definitely a lighter version of it,",,,
,,Interviewer,,Yea.,Yea.,,,
,,Amanda,,"I can use English or, you can mix the two.","I can use English or, you can mix the two.",,,
,,Interviewer,,A lighter version of Kiswahili? What do yo mean by a lighter version of Kiswahili?,A lighter version of Kiswahili? What do yo mean by a lighter version of Kiswahili?,,,
,,Amanda,,"(She laughs) You know there's a Kiswahili I can speak- ah, <Swahili>kile ni-ambacho ni cha kitaaluma</Swahili>. And we might-I might be locking you out or I might end up explaining everything.","(She laughs) You know there's a Kiswahili I can speak- ah, <English>that one that is formal/expert</English>. And we might-I might be locking you out or I might end up explaining everything.",,,
,,Interviewer,,<Swahili>Kiswahili sanifu</Swahili>.,<English>Standard Swahili</English>.,,,
,,Amanda,,Yes. ,Yes. ,,,
,,Interviewer,,Mmm. <Swahili>Kiswahili cha</Swahili>=,Mmm. <English>The Swahili of</English>=,,,
