Name of the file,Topic,Participant,CN,Dialogue,Translation,CS/SS,Comments,
130802_004,,Interviewer,00:00:00mins,…<Swahili>sana kwa mjadala wetu leo.</Swahili>,…<English>very much for our discussion today.</English>,,Although recording only captured 'sana' as the beginning. The word proceeding it would've been 'asante'.,
,,Cynthia,,<Swahili>Poa.</Swahili> (they both laugh),<English>Cool.</English> (they both laugh),,,
,,Interviewer,,<Swahili>Nashukuru sana kwa mda wako.</Swahili>,<English>Thank you very much for your time.</English>,,,
,,Cynthia,,<Swahili>Sawa.</Swahili>,<English>Okay.</English>,,,
,,Interviewer,,"<Swahili>Umm, tutaongea tu kuhusu-kuhusu lugha na matumizi, katika: nyanja mbalimbali. Iwapo uko na marafiki..kuna familia, uko shuleni..mambo kama haya. Kwa hivyo ku:-kuanza, ningependa kukuuliza ni lugha gani ambao hupenda kuongea ama kutumia na familia?</Swahili>","<English>Umm, we will just speak about-about language and usage, in different ways.  Be it you are with friends..there is family, you are at school..things like this.  So to-to start, I would like to ask you what language do you like to speak or to use with family?</English>",,,
,,Cynthia,,"<Swahili>Familia napenda kutumia: Kiswahili, eeh sababu kila mtu anajua Kiswahili.</Swahili> Eeh. So Kiswahili is more: aah-of the language <Swahili>yenye:-</Swahili> since everybody understands, so you use it.","<English>Family I like to use: Swahili, eeh because everyone knows Swahili.</English> Eeh. So Kiswahili is more: aah-of the language <English>that has-</English> since everybody understands, so you use it.",CS,Unmarked.,
,,Interviewer,,"Mm hmm. Okay, so in your family it means that everybody understands Swahili and Swahili the best?","Mm hmm. Okay, so in your family it means that everybody understands Swahili and Swahili the best?",,I believe he switched to English because Cynthia switched to English in her last words.,
,,Cynthia,,"Yea, everybody. It cuts across uuh","Yea, everybody. It cuts across uuh",,,
,,Interviewer,,<Swahili>Kwahivo kumaanisha kuna:-hakuna yule ambae haelewi Kiswahili?</Swahili>,<English>So to mean there is-there isn't that one who doesn't understand Swahili?</English>,,,
,,Cynthia,,<Swahili>Hakuna. Kila mtu anaelewa Kiswahili.</Swahili> (she laughs),<English>There isn't.  Everyone understands Swahili. </English> (she laughs),,,
,,Interviewer,,How about friends?,How about friends?,,,
,,Cynthia,,"Friends. Friends I use-even with my family I: use Sheng, and I-I-even friends I use Sheng. I use English and I use Swahili. So it's a mixture of those.","Friends. Friends I use-even with my family I: use Sheng, and I-I-even friends I use Sheng. I use English and I use Swahili. So it's a mixture of those.",,,
,,Interviewer,,With your family <Swahili>sio?</Swahili>,With your family <English>no?</English>,CS,Unmarked.,
,,Cynthia,,Mm.,Mm.,,,
,,Interviewer,,<Swahili>Na ukiwa na mabeshti basi?</Swahili>,<English>And when with your best friends?</English>,,,
,,Cynthia,,"<Swahili>Mabeshte? English, Swahili, Sheng.</Swahili>  Family: Swahili, bit of Sheng. <Swahili>Umeelewa?</Swahili>","<English>Best friends? English, Swahili, Sheng.</English>  Family: Swahili, bit of Sheng. <English>Do you understand?</English>",CS,Unmarked.,
,,Interviewer,,"<Swahili label='accomodation'>Naam.</Swahili label='accomodation'>  (they both laugh). Okay, in what situations do you use English for friends and Kiswahili for friends or Sheng for friends? Or maybe what are the reasons that lead you to use?","<English>Naam.</English>  (they both laugh). Okay, in what situations do you use English for friends and Kiswahili for friends or Sheng for friends? Or maybe what are the reasons that lead you to use?",CS,SM: Accomodation.,
,,Cynthia,00:02:00mins,"It depends on the friends like okay <Swahili>uko huko shuleni.</Swahili>  Aah, there are many people who would not know Sheng, so aah- you use-but me, it depends mostly on what language somebody's-eeh aah-has talked me with.  If he or she talks in English I'll respond in English. <Swahili>Halafu</Swahili> maybe I-I'll: codeswitch, you see? And mm: Sheng-Sheng is mostly for people who understand it and aah- <Swahili>na si kwa nia mtu lakini watu wa Nairobi sana sana ndio wanaelewa She:ng (she laughs) yenye naongea.</Swahili> So eeh, I think eh-that's-that's it. But I know-I know Sheng.  <Swahili label='high expertise'>Tena nikiongea Sheng huwezi elewa.</Swahili label='high expertise'> (laughs)","It depends on the friends like okay <English>you are there at school.</English>  Aah, there are many people who would not know Sheng, so aah- you use-but me, it depends mostly on what language somebody's-eeh aah-has talked me with.  If he or she talks in English I'll respond in English. <English>Then</English> maybe I-I'll: codeswitch, you see? And mm: Sheng-Sheng is mostly for people who understand it and aah- <English>and not for anybody but Nairobi folks especially are the ones who understand the Sheng (she laughs) that I speak.</English> So eeh, I think eh-that's-that's it. But I know-I know Sheng.  <English>Again if I speak Sheng you won't understand</English> (laughs)",CS,SM: High expertise.,
,,Interviewer,,"<Swahili>Najua, lakini inategemea ni Sheng gani</Swahili>","<English>I know [it], but it depends on what Sheng</English>",,,
,,Cynthia,,Oh,Oh,,,
,,Interviewer,,<Swahili>Kuna ile Sheng-okay Sheng ya East Lands kama unatoka Dago mi siwezi elewa=</Swahili>,<English>There is that Sheng-okay East Lands Sheng like if you come from Dago I can't understand=</English>,,,
,,Cynthia,,<Swahili>Eeh.  Utaelewa ya wapi? </Swahili>(she laughs),<English>Eeh.  You'll understand the one from where? </English>(she laughs),SS,"Cynthia challenges interviewer.  In the last two sentences, because of her proclaimed high proficiency in Sheng, interviewer has become subordinate as the non-expert. He sets to defend his knowledge of Sheng until consequently she turns and asks him the question.  Instead of being the interviewee, she takes the place of interviewer. For that moment the power dynamic has changed.",
,,Interviewer,,<Swahili>Ya kawaida tu.</Swahili>(she continues to laugh),<English>Just the regular one.</English> (she continues to laugh),,,
,,Cynthia,,So:,So:,,,
,,Interviewer,,<Swahili>Hapa shuleni basi lugha ndio hupenda kutumia?</Swahili>,"<English>Here in school then, the language you like to use?</English>",,,
,,Cynthia,,Swahili.,Swahili.,,,
,,Interviewer,,Mm hmm.,Mm hmm.,,,
,,Cynthia,,"Yea, Swahili mixed with English. Like the way I'm talking to you I'm using Swahili and English most of the time. So, aah <Swahili>shule</Swahili> but <Swahili>ita</Swahili>depend cuz you know <Swahili>ukiongea na</Swahili> lecturer <Swahili>huwezi ongea nae Kiswahili</Swahili>","Yea, Swahili mixed with English. Like the way I'm talking to you I'm using Swahili and English most of the time. So, aah <English>school</English> but <English>it will</English>depend cuz you know <English>if you speak with a </English> lecturer <English>you can't speak Swahili with him/her</English>",CS,Unmarked.,
,,Interviewer,,Mm hmm.,Mm hmm.,,,
,,Cynthia,,"<Swahili>Eeh lakini kuna</Swahili> lecturers <Swahili>wengine wana huongelesha na Kiswahili.</Swahili>  So when you're talking to a lecturer, if the lecturer talks to you in Swahili you stick to?","<English>Eeh but there are</English> lecturers <English>others who speak to you in Swahili.</English>  So when you're talking to a lecturer, if the lecturer talks to you in Swahili you stick to?",CS,Unmarked.,
,,Interviewer,,Swahili.,Swahili.,,,
,,Cynthia,,"You st-you stick to Swahili.  If they talk to you in English, you stick to English you don't codeswitch, you don’t like say-uuh,maybe lecturer <Swahili>amekuuliza</Swahili> ""mm, how was aah, your attachment period?"" ""By the way,<Swahili label='quotation'>ilikuwa poa."" Unaona?</Swahili label='quotation'> No you just answer ""it was okay, it was enlightening"" you will talk in English. <Swahili>Akikuuliza na Kiswahili..aah, sijui</Swahili> attachment  <Swahili label='quotation'>ni [uncertain transcription] Kiswahili  lakini ""attachment ilikuaje?"" Lakini kuna wenye wako na jina, sasa utaongea naye Kiswahili.</Swahili label='quotation'>  So you have to be consistent when talking in formal situation depending on what language the person has talked to you with, <Swahili>unaona?  Akikuongelesha Kiswahili muongeleshe Kiswahili.</Swahili> But there are some lecturers who know Sheng by the way..- <Swahili>kuna</Swahili> lecturer <Swahili>mmoja ameshaniongelesha Sheng, pia mimi nikamuongelesha Sheng</Swahili> so at least <Swahili>hii ilikuwa poa.</Swahili>","You st-you stick to Swahili.  If they talk to you in English, you stick to English you don't codeswitch, you don’t like say-uuh,maybe lecturer <English>he/she asks you</English> ""mm, how was aah, your attachment period?"" ""By the way,<English>it was cool."" You see?</English> No you just answer ""it was okay, it was enlightening"" you will talk in English. <English>If he/she asks in Swahili..aah, I don't know</English> attachment  <English>is [uncertain transcription] Swahili but ""attachment how was it?"" But there are those who have the name [for it], now you will speak to him/her in Swahili.</English>  So you have to be consistent when talking in formal situation depending on what language the person has talked to you with, <English>you see?  If he engages you in Swahili you speak to him in Swahili.</English> But there are some lecturers who know Sheng by the way..- <English>there is</English> lecturer <English>one who has spoken to me in Sheng, I also spoke to him in Sheng</Swahili> so at least <English>this was cool.</English>",CS,SM: Quotation.,
,,Interviewer,00:04:19mins,<Swahili>Sheng ile ya ndani?</Swahili>,<English>That deep Sheng?</English>,,,
,,Cynthia,,"<Swahili>Aah, si ile ya ndani, ile tu ya juu juu</Swahili>(she laughs)","<English>Aah, not that deep one, just that surface one</English>(she laughs)",,,
,Knowing English,Interviewer,,"Cuz I could, I would ah really wonder. How about English? Do you think it's important to know English?","Cuz I could, I would ah really wonder. How about English? Do you think it's important to know English?",,,
,,Cynthia,,"Uum:, yea it is very important. English is a universal language. Aah, it's unifying and then..most of the world is speaking English or people are striving to know English because it's now used in most of the formal situations. <Swahili>Halafu ku</Swahili> conduct businesses and then with the usual globalization so English is important cuz how do you conduct business maybe with somebody in:-let's-let's say in-in: Rwanda, Rwanda, Rwanda, <Swahili>unaona?</Swahili> Rwanda, they know Swahili. Rwanda know Swahili? I don't know, but let's assume a country where they-they don't know Swahili, they don't know-more obviously <Swahili>hawajui</Swahili> mother tongue <Swahili>yenu, haya. Ni nini watajua? Watajua English.</Swahili>","Uum:, yea it is very important. English is a universal language. Aah, it's unifying and then..most of the world is speaking English or people are striving to know English because it's now used in most of the formal situations. <English>And then to</English> conduct businesses and then with the usual globalization so English is important cuz how do you conduct business maybe with somebody in:-let's-let's say in-in: Rwanda, Rwanda, Rwanda, <English>you see?</English> Rwanda, they know Swahili. Rwanda know Swahili? I don't know, but let's assume a country where they-they don't know Swahili, they don't know-more obviously <English>they don't know</English> mother tongue <English>of yours. Okay. What will they know? They will know English.</English>",CS,Unmarked.,
,,Interviewer,,Okay.,Okay.,,,
,,Cynthia,,"<Swahili>Unaona?  Na kama hawatajua English watakuwa na</Swahili> translator <Swahili>mwenye anajua English unaona,</Swahili> English is known by-I think people in every country in the world. I think we know English. There are some people who know English so-ah most of the countries, most people know English. Some of the countries like in France, most of them speak French because that is the common language but there are some people even in France who are learning English because maybe they want to conduct business with countries like USA or, <Swahili>unaona?</Swahili> It's more of that. Unless somebody <Swahili>anataka kushitukwa</Swahili> country <Swahili>yao.</Swahili> So <Swahili>kama umetoka France na unataka tu [uncertain transcription] France hutaki kutoka eti</Swahili> you're French <Swahili>pekeyake.</Swahili>","<English>You see?  And if they won't know English they will have a</English> translator <English>who knows English you see,</English> English is known by-I think people in every country in the world. I think we know English. There are some people who know English so-ah most of the countries, most people know English. Some of the countries like in France, most of them speak French because that is the common language but there are some people even in France who are learning English because maybe they want to conduct business with countries like USA or, <English>you see?</English> It's more of that. Unless somebody <English>wants to </English> country <English>of theirs.</English> So <English>if you come from France and you want to just  [uncertain transcription] France you don't want to get out</English> you're French <English>only.</English>",CS,Unmarked.,
,,Interviewer,00:06:06mins,You say that English is a language <Swahili>ya biashara. </Swahili>,You say that English is a language <English>of business. </English>,CS,,
,,Cynthia,,Mm hmm.,Mm hmm.,,,
,,Interviewer,,Compare to Kiswahili.,Compare to Kiswahili.,,,
,,Cynthia,,"Eeh, compared to Kiswahili, ","Eeh, compared to Kiswahili, ",,,
,,Interviewer,,Or u-u-how-how much would you rate English and Swahili in terms of its use in business?,Or u-u-how-how much would you rate English and Swahili in terms of its use in business?,,,
,,Cynthia,,"<Swahili>Swahili iko</Swahili> far (laughs), <Swahili>Swahili iko</Swahili> far, <Swahili>Swahili iko</Swahili> down, <Swahili>iko</Swahili> down <Swahili>kidogo</Swahili> compared to English <Swahili>ebu cheki, unaona,</Swahili> English. How many people know Swahili? If it is not some countries in Africa and not more than half of the countries in Africa know Swahili. Eh? And yes I've heard of English being taught in-in countries <Swahili>za majuu</Swahili> but how many people know it? How do you expect-expect to conduct business with somebody in German-German with-with Swahili. So English is more of a language that <Swahili>hata ukienda Germany umwambie mtu</Swahili> ""by the way, eeh <Swahili label='quotation'>nataka ku</Swahili label='quotation'>buy <Swahili label='quotation'> kitu"" unaona,</Swahili label='quotation'>  you want to buy something then you go talking in Swahili <Swahili>eti</Swahili> which language do you-can you speak? Maybe you don't-maybe you don't know English then you tell that person <Swahili>kwa</Swahili> Kiswahili, seriously? Unless <Swahili>ukimwabia English hapo hataelewa</Swahili> cuz everybody knows this English and English is more universal. So <Swahili>unaona, unaona hii kitu?</Swahili>","<English>Swahili it is</English> far (laughs), <English>Swahili it is</English> far, <English>Swahili it is</English> down, <English>it is</English> down <English>a bit</English> compared to English <English>just look, you see,</English> English. How many people know Swahili? If it is not some countries in Africa and not more than half of the countries in Africa know Swahili. Eh? And yes I've heard of English being taught in-in countries <English>foreign</English> but how many people know it? How do you expect-expect to conduct business with somebody in German-German with-with Swahili. So English is more of a language that <English>even if you go to Germany and tell someone</English> ""by the way, eeh <English>I want to</English>buy <English> something"" you see,</English>  you want to buy something then you go talking in Swahili <English>like</English> which language do you-can you speak? Maybe you don't-maybe you don't know English then you tell that person <English>in</English> Kiswahili, seriously? Unless <English>if you tell them in English now they'll understand</English> cuz everybody knows this English and English is more universal. So <English>you see, you see this thing?</English>",CS,"SM: Quotation.                                                                                             NOTE: I believe she meant to say ""And yes, I've heard of Swahili being taught in countries za majuu…"" ",
,,Interviewer,,<Swahili>Naona.</Swahili>,<English>I see.</English>,,,
,,Cynthia,,<Swahili>Hata uki</Swahili>balance <Swahili>tu unaona tu English iko na</Swahili> benefits <Swahili>zake.</Swahili>,<English>Even if you</English>balance <English>you will see that English has</English> benefits <English>of it.</English>,CS,Unmarked.,
,The Importance of Knowing Vernacular,Interviewer,00:07:32mins,<Swahili label='accomodation'>Sawa.</Swahili label='accomodation'> How about a native language? Do you think it's important for anyone to know a native language?,<English>Okay.</English> How about a native language? Do you think it's important for anyone to know a native language?,CS,SM: Accomodation.,
,,Cynthia,,"(laughs). He! <Swahili>Sasa,</Swahili> native language. Me it's not ver-it's not important.  All that native languages do is..divide people, <Swahili label='elaboration'>inaweka watu [uncertain transcription].</Swahili label='elaboration'>  As in <Swahili>saa nyingine</Swahili> when somebody knows only his native language, he thinks within that scope of a native language-eh-in-maybe say in the-in: Kipsikis, they have a word that dis-that describes a computer. Is there a word in Kipsikis that..eeh translates to computer, in English, you see? So you see, the language you know..it shows your-how you are exposed, aah, how far-how much you are exposed.  You know like if you are exposed to the world you know computers, you know ipads, you know everything.  Ipads.  You know, there's no word that describes ipads in Kisii my mother tongue. So, according to me people want to be exposed-want to know  a language that has these vocabularies, <Swahili>unaona?  Ukikwamilia kujua tu Kisii pekeyake</Swahili> because it is your mothertongue, you end up just being uuh, a bit exposed, <Swahili label='elaboration'>kidogo tu.</Swahili label='elaboration'> Then you-you are not open, you are just closed-you are closed. So mother tongue is not of importance to me. ","(laughs). He! <English>Now,</English> native language. Me it's not ver-it's not important.  All that native languages do is..divide people, <English>it makes people [uncertain transcription].</English>  As in <English>sometimes</English> when somebody knows only his native language, he thinks within that scope of a native language-eh-in-maybe say in the-in: Kipsikis, they have a word that dis-that describes a computer. Is there a word in Kipsikis that..eeh translates to computer, in English, you see? So you see, the language you know..it shows your-how you are exposed, aah, how far-how much you are exposed.  You know like if you are exposed to the world you know computers, you know ipads, you know everything.  Ipads.  You know, there's no word that describes ipads in Kisii my mother tongue. So, according to me people want to be exposed-want to know  a language that has these vocabularies, <English>you see?  If you are stuck only knowing Kisii</English> because it is your mothertongue, you end up just being uuh, a bit exposed, <English>just a little.</English> Then you-you are not open, you are just closed-you are closed. So mother tongue is not of importance to me. ",CS,SM: Elaboration.,
,Language of your Thoughts,Interviewer,00:09:12mins,"Okay.  You talk of a mindset and sort of, a language you use to, think in.  Which language can you think in?","Okay.  You talk of a mindset and sort of, a language you use to, think in.  Which language can you think in?",,,
,,Cynthia,,Right now I'm-I'm thinking in Swahili (they both laugh),Right now I'm-I'm thinking in Swahili (they both laugh),,,
,,Interviewer,,"And you-okay, you're thinking in Swahili. Why? Why Swahili and not English?","And you-okay, you're thinking in Swahili. Why? Why Swahili and not English?",,,
,,Cynthia,,"I don't know-I think maybe because Swahili is the lang-is the language-is my first language-is the language that I was taught. I mean it was the language I was born and there are people talking, using it. So now like-so Kiswahili I think that's why I'm using Kiswahili to think. I've never..found my-no I found myself for a few times-maybe if I'm doing an assignment, thinking in English or in French. But Swahili most of the times even when I look at you I'm thinking in Swahili. Maybe I'm talking-I'm thinking something about you there, (laughs) <Swahili>nafikiria Kiswahili unaona?  Halafu ukiangalia tu nje</Swahili> ""By the way <Swahili>hii</Swahili> weather, <Swahili>si poa. Hii</Swahili> weather <Swahili label='quotation'>kunaenda kunyesha"" unaona?</Swahili label='quotation'> Ah it is going to rain, no. [uncertain transcription] these things in Swahili.","I don't know-I think maybe because Swahili is the lang-is the language-is my first language-is the language that I was taught. I mean it was the language I was born and there are people talking, using it. So now like-so Kiswahili I think that's why I'm using Kiswahili to think. I've never..found my-no I found myself for a few times-maybe if I'm doing an assignment, thinking in English or in French. But Swahili most of the times even when I look at you I'm thinking in Swahili. Maybe I'm talking-I'm thinking something about you there, (laughs) <English>I think in Swahili you see?  And then if you just look outside</English> ""By the way <English>this</English> weather, <English>is cool.  This</English> weather <English>it is going to rain"" you see?</English> Ah it is going to rain, no. [uncertain transcription] these things in Swahili.",CS,SM: Quotation.,
,Codeswitching,Interviewer,00:10:21mins,<Swahili>Hata hivyo kwahiyo huchanganya lugha?</Swahili>,<English>Even then so you mix languages?</English>,,,
,,Cynthia,,<Swahili>Sana.</Swahili>,<English>A lot.</English>,,,
,,Interviewer,,Mm.  <Swahili>Kwanini na katika</Swahili> situations <Swahili>gani?</Swahili>,Mm.  <English>Why and in</English> situations <English>which?</English>,CS,Unmarked.,
,,Cynthia,,"Okay <Swahili label='low expertise'>lugha muchanganya saa zingine..-nimesahau</Swahili label='low expertise'> word.  By the way, <Swahili>saa nyingine unasahau jina,</Swahili> maybe <Swahililabel='quotation'> ulikuwa unatakakusema…""eeh nataka kwenda ku</Swahili label='quotation'>buy:"" Maybe you want to buy something like, aah: an electric kettle. <Swahili>Unaona? Nataka kwenda kununua</Swahili> electric kettle.  What is electric kettle in Swahili? I do not know. Coil? I do not know. Eeeh, heater? I do not know. You see, so it's convenient for me to change because I do not know the vocabulary of this word in the other language so I mix both languages depending on the knowledge I have in that language. There's some words I don't know in English, that's why I use Swahili so that somebody can understand what I'm trying to say. ","Okay <English>the language I mix sometimes..-I forget [the]</English> word.  By the way, <English>sometimes you forget the name,</English> maybe <English>you wanted to say…""eeh I want to go to</English>buy:"" Maybe you want to buy something like, aah: an electric kettle. <English>You see? I want to go to buy</English> electric kettle.  What is electric kettle in Swahili? I do not know. Coil? I do not know. Eeeh, heater? I do not know. You see, so it's convenient for me to change because I do not know the vocabulary of this word in the other language so I mix both languages depending on the knowledge I have in that language. There's some words I don't know in English, that's why I use Swahili so that somebody can understand what I'm trying to say. ",CS,SM: Low expertise.,
,,Interviewer,,Okay.,Okay.,,,
,,Cynthia,,Yea.,Yea.,,,
,,Interviewer,,So which languages do you tend to mix most?,So which languages do you tend to mix most?,,,
,,Cynthia,,Swahili and English.,Swahili and English.,,,
,,Interviewer,,Okay. ,Okay. ,,,
,,Cynthia,,Uum.,Uum.,,,
,,Interviewer,,Those are the two languages you-you mix most?,Those are the two languages you-you mix most?,,,
,,Cynthia,,"Yea, I mix most. Yea. Swahili and English mostly then maybe Sheng and Swahili, second mostly. (laughs)","Yea, I mix most. Yea. Swahili and English mostly then maybe Sheng and Swahili, second mostly. (laughs)",,,
,The Way You Talk Versus How Others Talk,Interviewer,00:11:47mins,"<Swahili>Kwako wewe, umeangalia tofauti kati ya vile unavyoongea na ambavyo watu wengine wanavyoongea?</Swahili>","<English>For you, have you observed a difference between how you talk and how other people talk?</English>",,,
,,Cynthia,,"<Swahili label='accomodation'>Kuna tofauti. Aah, tofauti iko</Swahili label='accomodation'> in that-in Kenya, speak-even in all over the world. Speaking depends-how you talk depends on, where you come from, or your first language, what you're exposed to.","<English>There is a difference.  Aah, the difference is there</English> in that-in Kenya, speak-even in all over the world. Speaking depends-how you talk depends on, where you come from, or your first language, what you're exposed to.",CS,SM: Accomodation.,
,,Interviewer,,That's true.,That's true.,,"Interview instead of being objective, he cosigns.",
,,Cynthia,,"Let me say what I'm exposed to-i-maybe-you know if I was a child and then they took me to France. <Swahili>Si ninge</Swahili>grow up <Swahili>kama najua tu</Swahili> French <Swahili>halafu hio ntakuwa tu na hiyo</Swahili> accent <Swahili>ya</Swahili> French. <Swahili>Hiyo-hiyo-hiyo</Swahili> accent <Swahili>yenye:-ie-</Swahili>it's nice <Swahili>ya</Swahili> French <Swahili>unaona?</Swahili>  I'm exposed to that environment. So when you-when you find a: Kikuyu talking that one from <Swahili>huko ndani ndani, huko [uncertain transcription],</Swahili> what. Eeh. <Swahili>Huyu ukipata huyu Mkikuyu na upate Mkikuyu wa-um-na upate Mluo,</Swahili> the way they'd speak English is very different.","Let me say what I'm exposed to-i-maybe-you know if I was a child and then they took me to France. <English>I would have</English>grow[n] up <English>like I only know</English> French <English>and then that I would just have that</English> accent <English>of</English> French. <English>That-that-that</English> accent <English>that has-</English>it's nice <English>of</English> French <English>you see?</English>  I'm exposed to that environment. So when you-when you find a: Kikuyu talking that one from <English>the deep insider, there [uncertain transcription],</English> what. Eeh. <English>This one, if you find this Kikuyu and then you find the Kikuyu of-um-and you find a Luo</English> the way they'd speak English is very different.",CS,Unmarked.,
,,Interviewer,,That's right.,That's right.,,Interviewer continues to cosign with Cynthia.,
,,Cynthia,,"Depending by the way, depending on where they come from.  Maybe they are-they have grown up in urban areas then you'll not know the difference but <Swahili>kama ni-ni wa</Swahili> <Sheng>ota,</Sheng> you'll know the-the difference that this one is speaking in-aah-this way. So I'll know that this one is a Kikuyu and this one is a Luo.  So <Swahili>ntajua, unaona?</Swahili>  So the way I speak is different from the way another person speaks. By they way our voices are-are very unique. You'll never find two voices which are-which are similar. Okay that's-that is beside the topic but-by the way the way we speak is different, but it is influenced by our mother tongue and what you are exposed to and maybe things that we've experienced also somehow changes the way we speak. Maybe <Swahili>umekuwa na</Swahili> home-<Swahili>ukiwacha hiyo</Swahili> (laughs)","Depending by the way, depending on where they come from.  Maybe they are-they have grown up in urban areas then you'll not know the difference but <English>if they are of</English> <English> the rural areas,</English> you'll know the-the difference that this one is speaking in-aah-this way. So I'll know that this one is a Kikuyu and this one is a Luo.  So <English>I'll know, you see?</English>  So the way I speak is different from the way another person speaks. By they way our voices are-are very unique. You'll never find two voices which are-which are similar. Okay that's-that is beside the topic but-by the way the way we speak is different, but it is influenced by our mother tongue and what you are exposed to and maybe things that we've experienced also somehow changes the way we speak. Maybe <English>you have been</English> home-<English>if you leave that</English> (laughs)",CS,Unmarked.,
,,Interviewer,00:13:51mins,"Na, okay, <Swahili>ulishaona watu wenye-wanajaribu kuiga? Wanajaribu</Swahili> like <Swahili>ku</Swahili> imitate <Swahili>watu wengine?</Swahili>","Na, okay, <English>have you ever seen people who have-they try to imitate? They try</English> like <English>to</English> imitate <English>other people?</English>",CS,Unmarked.,
,,Cynthia,,Comedian?,Comedian?,,,
,,Interviewer,,"What is the motivation, for them to imitate or like speak like those people? What is the motivation, what makes them to want to speak like those people?","What is the motivation, for them to imitate or like speak like those people? What is the motivation, what makes them to want to speak like those people?",,,
