Name of the file ,Topic,Participant ,Ln,Dialogue,Translation,CS/DM/SS,comments
Mary 1,language,Interviwer ,oo:oo:oo minutes ,"We are talking about language and language use yah.. And may be just to ask, when you are with your family, which language do you tipically use?","We are talking about language and language use yah.. And may be just to ask, when you are with your family, which language do you tipically use?",,The introduction could have been more than how interviwer did so that he can prepare her accordingly.
,,Mary 1,,"Most of the times we use Kiwahili, yah.. at home , as a family we communicate in Kiswahili that is the language am used to at home yah..","Most of the times we use Kiswahili, yah.. at home , as a family we communicate in Kiswahili that is the language am used to at home yah..",,
,,Interviwer ,,Maybe for what other reasons do you use Kiswahili and not English then or..? ,Maybe for what other reasons do you use Kiswahili and not English then or..?,,
,,Mary 1,,"Ok.. Well..uh..ahh! I just grown up speaking in Kiswahili at home, but uh..at times my mother used to speak to me in kikuyu and then I respond in Kiswahili because personally I didn’t know Kikuyu, at list I try to know abit of it. I didn’t know but my dad doesn't know Kikuyu so, he communicates in Kiswahili. Ok English<Swahili label=""referring"">ile labda</Swahili>once in a while yah.. but the dominate language that we used is Swahili. ","Ok.. Well..uh..ahh! I just grown up speaking in Kiswahili at home, but uh..at times my mother used to speak to me in kikuyu and then I respond in Kiswahili because personally I didn’t know Kikuyu, at list I try to know abit of it. I didn’t know but my dad doesn't know Kikuyu so, he communicates in Kiswahili. Ok English <English>maybe</English>once in a while yah.. but the dominate language that we used is Swahili. ",,SM: Referring (with respect); OSF: Due to respect Mary respect her father even if he was not there.
,,Interviwer ,,"<Swahili>Aawa, ni kwasababu wote mnaelewa Swahili?","<English>Ok, is it because all of you understand Swahili?",,
,,Mary 1,,Yah (agree)  It's because all of us understand kiswahili and we are very confortable with it. Yah..,Yah (agree) It's because all of us understand kiswahili and we are very confortable with it. Yah..,,
,Language with friends.,Interviwer ,,"<Swahili>Hiyo ni nziri, Na mkiwa na marafiki? ","<English>Thank is good, and when you are with friends?",,
,,Mary 1,,"Ok when am with my friends, it depends what kind of friends <Swahili label=""In-group identification-low"">kuna wale</Swahili>formal and informal friends. My formal friends<Swahil label= ""referring"">ile yani</Swahili>official business speaking English maybe abit of Kiswahili<Swahili>lakini </Swahili>informal friends are the once am used to, we will speak maybe<swahili>Sheng, Kiswahili yah.. ","Ok when am with my friends, it depends what kind of friends<English>there are those</English>formal and informal friends. My formal friends<English>that is</English>official business speaking English maybe abit of Swahili<English>but</English>informal friends are the once am used to, we will speak maybe<English>slang Swahili yah..",,"SM: In-group identification-low; (accommodation), referring. OLF: Mary did code switch to so as to give the comparison among her friends and also refer to specific friends."
,,Interviwer ,,"Ok, now while here in school? You speak the same? ","Ok, now while here in school? You speak the same?",,
,,Mary 1,,"Yah (agree) <Swahili label=""referring"">pia hapa shule yani</Swahili>it depends, there are some people you speak to them in English, official English, the others you speak to them in Swahili <Swahili label=""accomodation""> nakuna wengine</Swahili>as in<Swahili>utamix tu, nabonga na wao sheng.","Yah (agree),<English>also here in school actually</English>it depends, there are some people you speak to them in English, official English, the others you speak to them in Swahili <English> and there are some</English>as in<English>you will only mix, and I talk with them in slang.",,"SM: Referring, accomodation. OLF: Mary used her life style in school to explain more about her choices of languge use on campus."
,,Interviwer ,,Ok.. So maybe what makes you choose the language to specific kind of people?,Ok.. So maybe what makes you choose the language to specific kind of people?,,
,,Mary 1,,"Ok, according to me,<Swahili label=""mood"">inadepend na</Swahili> attitude<Swahili>yenye niko nayo</Swahili>towards that person, and the way that person speaks to me, if you show me you are very formal in English I will respond that way<Swahili>kama unaniongelesa sheng "" hi Waledi niaje?""</Swahili>that is how I will respond. yah! so<Swahili>inadepend yah.","Ok, according to me,<English>it depends with</English>attitude<English>that I have</English>towards that person, and the way that person speaks to me, if you show me you are very formal in English I will respond that way<English>if you are talking to me in slang "" hi Waledi what's up?""</English>that is how I will respond. yah! so<English>it depends yah.",,SM: Mood. OLF. Her mood dictates the way she will interact with someone she has communicate with.
,,Interviwer ,,"English, do you think it is important for one to know?","English, do you think it is important for one to know?",,
,Work and Language.,Mary 1,,"Yah (agree),It is important to know,the reason been, which we are using in school<Swahili>kwanza</Swahili>most importantly, it is the formal language,business as in any job you need to be good in English , so I tend to think that it is important, very very important.","Yah (agree)  It is important to know,the reason been, which we are using in school<English>first</English>most importantly, it is the formal language,business as in any job you need to be good in English , so I tend to think that it is important, very very important.",,Unmarked
,,Interviwer ,,"How about, you talked of, you understanding Kikuyu that been, Supposetly your native language do you think it is important for one to know a native language?  ","How about, you talked of, you understanding Kikuyu that been, Supposetly your native language do you think it is important for one to know a native language? ",,
,Importance of Native language.,Mary 1,,"Yah (agree) it is important for people to understand their native languages, because they tend to think, how do you identify yourself with a certain when…maybe  what is your nationality? Am a kenyan. Which part of kenya do you come from? I come from Central Kenya. As in, what makes me..uh! as in what make identify mayself with people from central Kenya, is it just  because am born there? no. what do i have to show other people. And what makes me diffrent from people from, Coast and other places I think<Swahili label=""reffering"">sasa hapo ndio</Swahili>native language becomes important.","Yah (agree) it is important for people to understand their native languages, because they tend to think, how do you identify yourself with a certain when…maybe  what is your nationality? Am a kenyan. Which part of kenya do you come from? I come from Central Kenya. As in, what makes me..uh! as in what make identify mayself with people from Central Kenya,is it just  because am born there? no. what do i have to show other people. And what makes me diffrent from people from, Coast and other places i think<English>now that is where</English>native language becomes important.",,"SM: Referring; OSF: And what makes me diffrent from people from, Coast and other places I think in Kenya. ",
,,Interviwer ,,"<Swahili>Wale watu ambao hawana</Swahili>native language maybe, do you think they are missing something? ","<English>Those people who don't have</english>native language maybe, do you think they are missing something? ",,,
,,Mary 1,,"Yah (agree) actually they are missing something<Swahili>kwasababu</Swahili>when you are talking about English<Swahili>Kiswahili kuna</Swahili>original owners<Swahili label=""power"">wa</Swahili>these languages<Swahili>kama</Swahili>English<Swahili>ni ya wazungu, Kiswahili ni ya waswahili </Swahili> What about yours? as<Swahili>wewe umesoma</Swahili>foreign language<Swahili>mbona hawa wajesoma yako?</Swahili>as much as, I think you have to be proud of your native language and you have to learn it. Yah they are missing something they are missing alot. The sense of identity because if you tell somebody I am a kikuyu or I am a Kalenjin and you don't know how to speak in Kalenjin you just know how to speak English and Kiswahili it shows even you are not even proud of yourself, of you ahh origin. Yah, so it is important","Yah (agree) actually they are missing something<English>because</English>when you are talking about English<English>Swahili there are</English>original owners<English>for</English>these languages<English>like</English>English<English>it's for Europeas, Swahili is for Swahili natives</English>What about yours? as<English>are you educated</English>foreign language<English>why haven't they study yours?</English>as much as, I think you have to be proud of your native language and you have to learn it. Yah they are missing something they are missing alot. The sense of identity because if you tell somebody I am a kikuyu or I am a Kalenjin and you dont know how to speak in Kkalenjin you just know how to speak English and Kiswahili it shows even you are not even proud of yourself, of you ahh origin. Yah so it is important.",,SM: Power; OLF: Mary explains the power of language and the origin of language.,
,,Interviwer ,,"<Swahili>Sasa umesema unaweza  kuongea lugha kama tatu hivi? Kikuyu, Kingeresa, Kiswahili, ushajipata ukimix </Swahili> this languages? Maybe in one conversation?","<English>Now you have said you can speak three languages? Kikuyu, English, Swahili.Have you ever find yourself mixing?</english>this languages? Maybe in one conversation?",,,
,,Mary 1,,Yah (agree) it is normal as in you  you just find yourself mixing languages,Yah (agree)  it is normal as in you  you just find yourself mixing languages,,,
,Mixing languages,Interviwer ,,Maybe when and why  do you mix?,Maybe when and why  do you mix?,,,
,,Mary 1,,"Most of the time<Swahili>hiyo hukuja</Swahili>naturally as in when you are speaking sometimes maybe you are used to a certain slogan maybe in English. Like now I have a problem as in every time I use that "" as in"" I just realize that from my friends every time<Swahili label=""quoting"">>nikiongea</Swahili>as in maybe<Swahili>hata kama ninaongea Kiswahili, natumia hiyo</Swahili>as in. You just mix naturally<Swahili>na pia</Swahili>sometimes there are certain words maybe you are speaking in English and then a word does not click<Swahili>sasa unamix</Swahili>yah, that is what happens most of the times.","Most of the time<English>that comes</English> naturally as in when you are speaking sometimes maybe you are used to a certain slogan may be in English. Like now I have a problem as in every time I use that "" as in"" I just realize that from my friends every time<English>when I speak</English>as in maybe<English>even if am speaking in Swahili I use that</English>as in.  You just mix naturally<English>and also</English>sometimes there are certain words maybe you are speaking in English and then a word does not click<English>now  you mix</English>yah, that is what happens most of the times.",,SM: Quoting.OLF: The speaker give examples of common words which are common when she is communicating.,
,,Interviwer ,,Ok.,Ok,,,
,,Mary 1,,Yah (agree)<Swahili>pia</Swahili>it's fun.,Yah (agree)<English>also</English>it's fun.,,,
,,Interviwer ,,It's fun mixing languages? Yah.,It's fun mixing languages? Yah,,,
,,Mary 1,,Very fun yah interesting.,Very fun yah interesting.,,,
,,Interviwer ,,Now which languages do you find yourself mixing most?,Now which language do you find yourself mixing most?,,,
