,,,,,,,,,
Name of the file,Topic,Participant,CN,Dialogue,Translation,CS,Comments,,
,Language Use,Interviewer,00:00:00mins,…language and language use.,…language and language use.,,,,
,,Donna,,Mm hmm.,Mm hmm.,,,,
,,Interviewer,,"And to begin that, we want to know-ok. Which kind of language do you normally use?","And to begin that, we want to know-ok. Which kind of language do you normally use?",,,,
,,Donna,,What kind of language? ,What kind of language? ,,,,
,,Interviewer,,With your family? Yea. With your family.,With your family? Yea. With your family.,,,,
,,Donna,,"With my family? Kipsigis. I am a Kipsigis. So, that is the first language that we use.","With my family? Kipsigis. I am a Kipsigis. So, that is the first language that we use.",,,,
,,Interviewer,,Mm hmm.,Mm hmm.,,,,
,,Donna,,"Otherwise secondary language is-will be: Kiswahili, a bit of English and between my siblings and me, might be Sheng. Yes.","Otherwise secondary language is-will be: Kiswahili, a bit of English and between my siblings and me, might be Sheng. Yes.",,,,
,,Interviewer,,Mm hmm.  Why would we want to use Kipsigis?,Mm hmm.  Why would we want to use Kipsigis?,,,,
,,Donna,,Kipsigis.,Kipsigis.,,,,
,,Interviewer,,When you are with your family?,When you are with your family?,,,,
,,Donna,,"It's, mother tongue. So it's the first language that I learned…so: and since they understand that better, I tend to use it.","It's, mother tongue. So it's the first language that I learned…so: and since they understand that better, I tend to use it.",,,,
,,Interviewer,,"Oh, so the-the fact that they understand that language better?","Oh, so the-the fact that they understand that language better?",,,,
,,Donna,,Yes.,Yes.,,,,
,,Interviewer,,"Uuh, is the reason that makes you to use the same language?","Uuh, is the reason that makes you to use the same language?",,,,
,,Donna,,"It is uhh-it is something we have in common. It is something out of-it is something I'm not-let me ss-let me not say I'm not used to. It's something, that will: bring some kind of bond. If we are to use English, English will remind you of another situation of a class situation. Kiswahili will also remind you of a more stricter situations, formal situations. So the ideal language to use here is Kipsigis. That is between me and my parents. And then for the Sheng, me and my brothers, my sisters, they understand the language. And since..the kind of education system that we've all gone through-of-all gone through, somehow somehow along the way we picked that Sheng language. So, something that also..will:-separates them and my parents. My parents will not undershen-understand Sheng. Me and my brothers or my sisters will understand Sheng. So brings about that difference=","It is uhh-it is something we have in common. It is something out of-it is something I'm not-let me ss-let me not say I'm not used to. It's something, that will: bring some kind of bond. If we are to use English, English will remind you of another situation of a class situation. Kiswahili will also remind you of a more stricter situations, formal situations. So the ideal language to use here is Kipsigis. That is between me and my parents. And then for the Sheng, me and my brothers, my sisters, they understand the language. And since..the kind of education system that we've all gone through-of-all gone through, somehow somehow along the way we picked that Sheng language. So, something that also..will:-separates them and my parents. My parents will not undershen-understand Sheng. Me and my brothers or my sisters will understand Sheng. So brings about that difference=",,,,
,,Interviewer,00:02:08mins,"So in instances where you want to exclude your-your parents,","So in instances where you want to exclude your-your parents,",,,,
,,Donna,,Yes.,Yes.,,,,
,,Interviewer,,You'll resort to Sheng?,You'll resort to Sheng?,,,,
,,Donna,,Yes. You: do not want them to hear the conversation that you're having you use Sheng.,Yes. You: do not want them to hear the conversation that you're having you use Sheng.,,,,
