Name of the file,Topic,Participant,CN,Dialogue,Translation,CS/DM/SS,Comments,,,,,,
130614_004,Language ,Interviewer,00:00:00mins,So today we are going to discuss about how we use language in our everyday life. Your everyday usage of language. So what-what kind of language do you use your-with your family?,So today we are going to discuss about how we use language in our everyday life. Your everyday usage of language. So what-what kind of language do you use your-with your family?,,,,,,,,
,,Fred,,"With my family? With my family, aah <Swahili>inaringana ni nani</Swahili> in my family. Yea my-for example when with my brother we can speak in English. But with my mom most it is Dholuo. Then with my sister in school we also speak maybe Kiswahili or English so majorly it depends on who is speaking. But then, mm let’s say with my dad. My dad mostly is someone who does not want us to speak with him these other languages that we learnt at school. <Swahili label='refereeing'>Tunataka tukiongea tunaongea ile lugha ambae ye ali-alijuwa akizaliwa</Swahili label='refereeing'> and that is the native language that is his father and mother’s language that is Dholuo.  My dad would never speak to you in any other language. Whether he knows it or not.  Even though he knows English but <Swahili>huwahasemi. Ye hata kama anataka kukuuliza kitu</Swahili> he'll just say, “Okello come here” <Swahili>na akuulize, hi ni hivi</Swahili> but it’s just in your mother tongue. He does not ask in any other language.  ","With my family? With my family, aah <English>it depends on who</English> in my family. Yea my-for example when with my brother we can speak in English. But with my mom most it is Dholuo. Then with my sister in school we also speak maybe Kiswahili or English so majorly it depends on who is speaking. But then, mm let’s say with my dad. My dad mostly is someone who does not want us to speak with him these other languages that we learnt at school. <English>We want when we speak, we speak that language that he-he knew from birth</English> and that is the native language that is his father and mother’s language that is Dholuo.  My dad would never speak to you in any other language. Whether he knows it or not.  Even though he knows English but <English>he doesn't speak.  He even if he wants to ask you something</English> he'll just say, “Okello come here” <English>and he asks  you, this is this way</English> but it’s just in your mother tongue. He does not ask in any other language.  ",CS,"SM: Refereeing. OLF: I believe Fred switched to Swahili in order to express his respect for his father by using Swahili when talking about his father wanting only Swahili to be spoken to him by his son. Although father is not at the interview, Fred acknowledges his desire in this way.",,,,,,
,,Interviewer,,So the language used depends on the person. ,So the language used depends on the person. ,,,,,,,,
,,Fred,,"Yea, the language I use depends on the person that aah, I’m speaking or the person that is near me.","Yea, the language I use depends on the person that aah, I’m speaking or the person that is near me.",,,,,,,,
,,Interviewer,,"Okay, what about your friends? ","Okay, what about your friends? ",,,,,,,,
,,Fred,,"Umm, friends now that’s interesting. My friends we speak and we speak each and every language. Yea. Again friends also, it also depends like let’s say when we are at home I have-I mix a lot with people yea so you find that most of my friends some of them are not learned, <Swahili label='refereeing'>hawajui Kiswahili wala Kiingereza</Swahili label='refereeing'>. But even though Kiswahili at least <Swahili>unapata</Swahili> the <Swahili label='refereeing'>wanajuajua ile kidogo.  Kila mtu anaweza hata akaomba naye chumvi</Swahili> label='refereeing' at least <Swahili>wanajua</Swahili>. So let's-so <Swahili label='refereeing'>tuseme niko nyumbani na naongea na hao watu</Swahili label='refereeing'> maybe we can speak Kiswahili. But mostly my friends they speak Sheng.","Umm, friends now that’s interesting. My friends we speak and we speak each and every language. Yea. Again friends also, it also depends like let’s say when we are at home I have-I mix a lot with people yea so you find that most of my friends some of them are not learned, <English>they don't know Swahili nor English</English>. But even though Kiswahili at least <English>you find</English> the <English>they know it a little.  Everyone can even ask for salt</English> at least <English>they know</English>. So let's-so <English>let's say I am at home and I am speaking with those people</English> maybe we can speak Kiswahili. But mostly my friends they speak Sheng.",CS,"SM: Refereeing. OLF: Again although his friends are not around, I believe Fred switches from English to Swahili because he is talking about them and their lack of English skills. Perhaps to say that in English would set him apart from them and he wants to maintain his connection to them.",,,,,,
,,Interviewer,,"Both friends at home, friends in school? ","Both friends at home, friends in school? ",,,,,,,,
,,Fred,,"Yea. Friends at home, friends in school, yea mostly <Swahili>unapata ni Sheng</Swahili>. ","Yea. Friends at home, friends in school, yea mostly <English>you find it's Sheng</English>. ",CS,Unmarked.,,,,,,
,,Interviewer,,Okay.,Okay.,,,,,,,,
,,,,"But again it depends on whatever you’re talking about. You’ll see if whatever you’re speaking is something that is formal.  Yea, if it’s formal then the languages that you use that is either Kiswahili or English.","But again it depends on whatever you’re talking about. You’ll see if whatever you’re speaking is something that is formal.  Yea, if it’s formal then the languages that you use that is either Kiswahili or English.",,,,,,,,
,,Interviewer,,"Okay. What about informal context like now here in campus...Which language do you usually use your friends..maybe your lecturers, it’s in school now.","Okay. What about informal context like now here in campus...Which language do you usually use your friends..maybe your lecturers, it’s in school now.",,,,,,,,
,,Fred,,In school=,In school=,,,,,,,,
,,Interviewer,,You find yourself using which kind of language?,You find yourself using which kind of language?,,,,,,,,
