Name of the file,Topic,Participant,CN,Dialogue,Translation,CS,Comments,Notes,,,,,
130614_004,Language Used with Family,Interviewer,00:00:00mins,"Soo, thank you for making time for this talk about your: use of language in everyday life. So: I want uh, to start by asking you what language do you use with your family?","Soo, thank you for making time for this talk about your: use of language in everyday life. So: I want uh, to start by asking you what language do you use with your family?",,,,,,,,
,,Fred,,My family members?,My family members?,,,,,,,,
,,Interviewer,,Yea.,Yea.,,,,,,,,
,,Fred,,"Eh the f-language I use with my family members, let's see [uncertain transcription] brother, <Swahili>ndugu yangu</Swahili> we speak <Swahili>Ki-English</Swahili> with him. My mom and dad mostly Dholuo.","Eh the f-language I use with my family members, let's see [uncertain transcription] brother, <English>my sibling</English> we speak <English>English</English> with him. My mom and dad mostly Dholuo.",CS,Unmarked.,,,,,,
,,Interviewer,,Dholuo.,Dholuo.,,,,,,,,
,,Fred,,Yea.,Yea.,,,,,,,,
,,Interviewer,,"Uuh, do you sometimes speak to them in-in-in English or Kiswahili?","Uuh, do you sometimes speak to them in-in-in English or Kiswahili?",,,,,,,,
,,Fred,,"Aah, ma-maybe my dad but my mom we specifically speak in Dholuo.","Aah, ma-maybe my dad but my mom we specifically speak in Dholuo.",,,,,,,,
,,Interviewer,,Dholuo.,Dholuo.,,,,,,,,
,,,,"Yea, she:-she doesn't-she hates me speaking in those other languages. She says that I'm now being too rude.","Yea, she:-she doesn't-she hates me speaking in those other languages. She says that I'm now being too rude.",,,,,,,,
,,Interviewer,,"(laughs) Okay, if you speak other languages you are rude?","(laughs) Okay, if you speak other languages you are rude?",,,,,,,,
,,Fred,,"Yea, that I'm rude, there are some things I'm hiding I don't want her to hear.","Yea, that I'm rude, there are some things I'm hiding I don't want her to hear.",,,,,,,,
,,Interviewer,,Mmm.,Mmm.,,,,,,,,
,,Fred,,And so she says that=,And so she says that=,,,,,,,,
,,Interviewer,,"Does she understand, eeh these other languages?","Does she understand, eeh these other languages?",,,,,,,,
,,Fred,,She understands Swahili. ,She understands Swahili. ,,,,,,,,
,,Interviewer,,But she still doesn't want you to use=,But she still doesn't want you to use=,,,,,,,,
