Name of the file,Topic,Participant,CN,Dialogue,Translation,CS,Comments,
130802_001,Language,Interviewer,0:00:00,"come. On today's uhh, discussion.","come. On today's uhh, discussion.",,,
,,Peter,,Thank you.,Thank you.,,,
,,Interviewer,,"Yea, we shall just discuss on language and language use. The way we use language with friends,","Yea, we shall just discuss on language and language use. The way we use language with friends,",,,
,,Peter,,Okay.,Okay.,,,
,,Interviewer,,"in our families,","in our families,",,,
,,Peter,,Yes.,Yes.,,,
,,Interviewer,,and all that.,and all that.,,,
,,Peter,,Okay.,Okay.,,,
,,Interviewer,,"So, maybe to start with, I'd like to ask you: which kind of language do you use when you are with your family?","So, maybe to start with, I'd like to ask you: which kind of language do you use when you are with your family?",,,
,,Peter,,"With my family, I use my native language, which is Kikuyu. Because, it's uh- in a my family setting, you don't necessarily speak English or any other language to your family members.  You just use the language they taught you when you were born.  They taught me Kikuyu, so I speak Kikuyu to my granothers, my mother. But there are those other family members who are educated who are my age mates or at least they've gone to school, those ones we can speak with in ki-ehh inEnglish, in <Swahili label='refereeing'>Kiswahili na wakati mwingine Sheng pia</Swahili label='refereeing'>.","With my family, I use my native language, which is Kikuyu. Because, it's uh- in a my family setting, you don't necessarily speak English or any other language to your family members.  You just use the language they taught you when you were born.  They taught me Kikuyu, so I speak Kikuyu to my granothers, my mother. But there are those other family members who are educated who are my age mates or at least they've gone to school, those ones we can speak with in ki-ehh inEnglish, in <English>Swahili and other times Sheng also</English>.",CS,SM:Refereeing.,
,,Interviewer,,Mm hh. <Swahili>Kwa kava umetaja lugha kama tatu hivi</Swahili>.,Mm hh. <English>So you have mentioned like three languages</English>.,,,
,,Peter,,<Swahili>Naam</Swahili>.,<English>Yes</English>.,,,
,,Interviewer,,"<Swahili>Lakini haswaa, mkiwa na familia</Swahili>?",<English>But particularly when you are with family</English>?,,,
,,Peter,,<Swahili>Ni Ki-zz- Ni Kikuyu</Swahili>.,<English>It's Kikuyu</English>.,,,
,,Interviewer,,<Swahili>Ni Kikuyu</Swahili>?,<English>It's Kikuyu</English>?,,,
,,Peter,,<Swahili>Ndio</Swahili>.,<English>Yes</English>.,,,
,,Interviewer,,<Swahili>Na kwa sababu gani</Swahili>?,<English>And why</English>?,,,
,,Peter,,"<Swahili>Kwa sababu, ukiwazungumzia ki-Kiingereza wataona ni kama hutaki waelewe maneno mengine</Swahili>. ","<English>Because, if you speak to them in English they will see that it's like you don't want them to understand some words</English>. ",,,
,,Interviewer,,Mm hh.,Mm hh.,,,
,,Peter,,It' s like you are talking to yourself.,It' s like you are talking to yourself.,,,
,,Interviewer,,Mm hh. ,Mm hh. ,,,
,,Peter,,"So, instead of locking them out, just use a language that they are going to understand -","So, instead of locking them out, just use a language that they are going to understand -",,,
,,Interviewer,,Mm hh.,Mm hh.,,,
,,Peter,,"all of them, so that you can include everybody-","all of them, so that you can include everybody-",,,
,,Interviewer,,ah,ah,,,
,,Peter,,from the youngest to the oldest.,from the youngest to the oldest.,,,
,,Interviewer,,Mm hh.,Mm hh.,,,
,,Peter,,Yes.,Yes.,,,
,,Interviewer,,"Yea. Mm. Now when you are with friends, which kind of language do you use?","Yea. Mm. Now when you are with friends, which kind of language do you use?",,,
,,Peter,0:01:35,"Ah <Swahili label='modernization'>mabeshdi na tumia Sheng, Kizungu, Kiswahili.  Lakini pia ina</Swahili label='modernization'> depend <Swahili label='modernization'>nao mabeshdi ya akina nani</Swahili label='modernization'>.","Ah <English>with my besties I use Sheng, English and Swahili. But also it</English> depend[s] <English>I am with which besties</English>.",CS,SM: Modernization.,
,,Interviewer,,Mm hh.,Mm hh.,,,
,,Peter,,<Swahili>Kuna wale ambao ni</Swahili> professional friends.  <Swahili>Hao unatumia lugha ambayo wako kuwa</Swahili> professional.  <Swahili>Kama ni wa kizungu</Swahili>: use English.,<English>There are those who are</English> professional friends.  <English>Those you use their language to be</English> professional.  <English>If they are of English</English>: use English.,CS,Unmarked.,
,,Interviewer,,Mm hh.,Mm hh.,,,
