Name of the file,Topic,Participant,CN,Dialogue,Translation,CS,Comments,Monica's Comments,,,,,
130625_001,Language,Interviewer,0:00:00,[Unclear transcription] our conversation today.  We want to discuss on how we use language everyday.,[Unclear transcription] our conversation today.  We want to discuss on how we use language everyday.,,,,,,,,
,,Ronald,,Thank you.,Thank you.,,,,,,,,
,,Interviewer,,"So <Swahili label='addressee specification'>wewe utumia</Swahili label='addressee specification'> language <Swahili>gani na</Swahili> family, daddy, mommy, sister, brothey?","So <English>you use</English> language <English>which with</English> family, daddy, mommy, sister, brothey?",CS,SM: Addressee specification.,,,,,,
,,Ronald,,"When I'm home, I use uh, Kalenjin.","When I'm home, I use uh, Kalenjin.",,,,,,,,
,,Interviewer,,Kalenjin?,Kalenjin?,,,,,,,,
,,Ronald,,"Yes, but the dialect is Kipsigis. ","Yes, but the dialect is Kipsigis. ",,,,,,,,
,,Interviewer,,Okay.,Okay.,,,,,,,,
,,Ronald,,"Mhh. So we normally communicate in Kipsigis.  Ahm, the whole of my family, but when I'm with my friends back at home, it depends on the, the friends that I'm having also.  Because I have friends who are in college as, as a drop- school drop-out, maybe form IV or primary school.  So I choose the language depending on the- the easiest way to communicate with them.","Mhh. So we normally communicate in Kipsigis.  Ahm, the whole of my family, but when I'm with my friends back at home, it depends on the, the friends that I'm having also.  Because I have friends who are in college as, as a drop- school drop-out, maybe form IV or primary school.  So I choose the language depending on the- the easiest way to communicate with them.",,,,,,,,
,,Interviewer,,Mhh. ,Mhh. ,,,,,,,,
,,Ronald,,Yes.,Yes.,,,,,,,,
,,Interviewer,,"Do your parents encourage you to speak Kipsigis or is there something- is it like a rule then, they want you to speak Kipsigis and not English or Kiswahili?","Do your parents encourage you to speak Kipsigis or is there something- is it like a rule then, they want you to speak Kipsigis and not English or Kiswahili?",,,,,,,,
,,Ronald,,[Actually] there is no rule but we just find they are comfortable with Kipsigis.  So I will not try to speak in a language that they struggle speaking.,[Actually] there is no rule but we just find they are comfortable with Kipsigis.  So I will not try to speak in a language that they struggle speaking.,,,,,,,,
,,Interviewer,,Okay.,Okay.,,,,,,,,
,,Ronald,,So Kipsigis is more ah easy for them to communicate in.,So Kipsigis is more ah easy for them to communicate in.,,,,,,,,
,,Interviewer,0:01:23,"Mhh.  What about in school, <Swahili>kama sasa hapa</Swahili> campus? [unclear transcription]","Mhh.  What about in school, <English>like here now [on]</English> campus? [unclear transcription]",CS,Unmarked.,,,,,,
,,Ronald,,"Campus [unclear transcription].  <Swahili>Natumia</Swahili> English, Swahili and also Sheng.  [Unclear transcription] mixing English and Swahili.  So, when communicating with my peers, <Swahili>natumia tu</Swahili> English and Swahili na mixture.  A mixture of the two.","Campus [unclear transcription].  <English>I use</English> English, Swahili and also Sheng.  [Unclear transcription] mixing English and Swahili.  So, when communicating with my peers, <English>I only use</English> English and Swahili na mixture.  A mixture of the two.",CS,Unmarked.,Interviewer says a lot of 'mhhs'  throughout to Ronald's response to indicate he that he is listening.,,,,,
,,Interviewer,,Okay.,Okay.,,,,,,,,
,,Ronald,,"But when in class, we use English.","But when in class, we use English.",,,,,,,,
,,Interviewer,,English?,English?,,,,,,,,
,,Ronald,,Aa.,Aa.,,,,,,,,
,,Interviewer,,Okay. What about when you meet the lecturers <Swahili>huko kwa</Swahili> streets?,Okay. What about when you meet the lecturers <English>out there in the</English> streets?,CS,Unmarked.,,,,,,
,,Ronald,,The lecturers?,The lecturers?,,,,,,,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,,,,,,
,,Ronald,,English also.,English also.,,,,,,,,
,,Interviewer,,Even in the streets?,Even in the streets?,,,,,,,,
,,Ronald,,Even in the streets.,Even in the streets.,,,,,,,,
,,Interviewer,,A eh?!  Okay.,A eh?!  Okay.,,,,,,,,
,,Ronald,,"Because English, the- it's a language that I think- Okay, how I perceive it is uh-, it shows some respect. So when you communicate in English, there is- there's some respect that you are according the person.  Or sometimes, the lecturer might also be some- someone who is of age, above 50 years, and they'll not be- they will not understand Sheng if I talk to them in Sheng.  Or maybe they are not comfortable or really conversant with Kiswahili. So English is the better option.","Because English, the- it's a language that I think- Okay, how I perceive it is uh-, it shows some respect. So when you communicate in English, there is- there's some respect that you are according the person.  Or sometimes, the lecturer might also be some- someone who is of age, above 50 years, and they'll not be- they will not understand Sheng if I talk to them in Sheng.  Or maybe they are not comfortable or really conversant with Kiswahili. So English is the better option.",,,Interviewer says some 'mhhs'  throughout to Ronald's response to indicate that she is listening.,,,,,
,,Interviewer,,Okay.  So do you think it is important to know English?,Okay.  So do you think it is important to know English?,,,,,,,,
,,Ronald,,"Yes, it's very important.","Yes, it's very important.",,,,,,,,
,,Interviewer,,Mhh.  What are some of the benefits?,Mhh.  What are some of the benefits?,,,,,,,,
,,Ronald,0:03:07,"English, uh, most, most of the time, when we have discussions even in class, we use English to communicate.  In teaching, it is English that we use in, in class.  The education system in Kenya, is such a way that all the text, [unclear transcription] of the text are in English.  So woe unto you if you don't know English. Yeah, so it's really important to help you in the academic field and also in the career field.","English, uh, most, most of the time, when we have discussions even in class, we use English to communicate.  In teaching, it is English that we use in, in class.  The education system in Kenya, is such a way that all the text, [unclear transcription] of the text are in English.  So woe unto you if you don't know English. Yeah, so it's really important to help you in the academic field and also in the career field.",,,Interviewer says some 'mhhs'  throughout to Ronald's response to indicate that she is listening.,,,,,
,,Interviewer,,"Okay.  So you think we learn English because of the benefits?  If we had a choice, maybe there were no benefits, would you still want to [know] English?","Okay.  So you think we learn English because of the benefits?  If we had a choice, maybe there were no benefits, would you still want to [know] English?",,,,,,,,
,,Ronald,,"Ah, if there was a choice, ah…I even doubt it that I'll be- if I would be knowing English as much.","Ah, if there was a choice, ah…I even doubt it that I'll be- if I would be knowing English as much.",,,,,,,,
,,Interviewer,,Okay.,Okay.,,,,,,,,
,,Ronald,,"<Swahili>Kwa sababu, mimi ninge- ningeona</Swahili>, ""Mhh…"" It's like I'm straining to learn  another new language, yet I'll already have one.  So I would see no need of-really going into another, uh knowing another language. So…yeah-","<English>Because, I would see</English>, ""Mhh…"" It's like I'm straining to learn  another new language, yet I'll already have one.  So I would see no need of-really going into another, uh knowing another language. So…yeah-",CS,Unmarked.,,,,,,
,,Interviewer,,Mhh. Because of the benefits?,Mhh. Because of the benefits?,,,,,,,,
,,Ronald,,"Because of the benefits, we have to.","Because of the benefits, we have to.",,,,,,,,
