Topic ,Participant ,Ln,Dialouge,Translation,Cs/Dm,Comments
language in school and home,Interviwer,00:00,"Ok so thank you for your time, thank you for taking your time for this interviwe, we are going to talk about the way we use language in everyday life yah, anything to do with the your leisure activities for example. So I will just have a few questions and we disuss about this, so first of all I want to know which language do you speak with your family?","Ok..so thank you for your time, thank you for taking your time for this interviwe, we are going to talk about the way we use language in everyday life yah, anything to do with the your leisure activities for example. So I will just have a few questions and we disuss about this, so first of all I want to know which language do you speak  with your family?",,
,Lily 2,,"Ok, we use Luo a lot coz you know have been bred in Kisumu, live in Kisumu whole of my life. So practically we use Luo a lot, English and Swahili is rare yah.","Ok, we use Luo a lot coz you know have been bred in Kisumu, live in Kisumu whole of my life. So practically we use Luo a lot, English and Swahili is rare yah.",,
,Interviwer,,Why do you use Luo a lot?,Why do you use Luo a lot?,,
,Lily 2,,"Because we are use to it as in, ok my parents both were bred in  the Luo land areas<Swalhili>zile kabisa kabisa Seme(name of place in Kisumu)</Swalhili>the other one was in Kisumu just next to Seme so<Swalhili>unajua</Swalhili>there is no chance for English or Swahili.","Because we are use to it as in, ok my parents both were bred in  the Luo land areas<English>which is really  Seme (name of place in Kisumu)</English>the other one was in Kisumu just next to Seme so <English> you know </English > there is no chance for English or Swahili.",,"SM: Referring; OSF; ""my parents both were"" bred in  the Luo land area. Although the parents are not there, the speaker code switched to emphasize the place were his parents are from for clarity."
,Interviwer,,So you are very fluent in Luo? ,So you are very fluent in Luo? ,,
,Lily 2,,Yah (agree) I am very fluent.,Yah (agree) I am very fluent.,,
,Interviwer,,Very fluent and you can speak it.,Very fluent and you can speak it.,,
,Lily 2,,I speak it all the time actually….(interrupted),I speak it all the time actually….(interrupted),,
,Interviwer,,All the time not just at home?,All the time not just at home?,,
,Lily 2,,No..no I speak it all the time unless it's very official bussiness then you find me speaking maybe English or Swahili yah.,No..no I speak it all the time unless it's very official bussiness then you find me speaking maybe English or Swahili yah.,,"SM: Expertise OLF; ""unless it's very official bussiness then"" it demostrated how diverse the participant is when it comes to choices of language and when to use it."
,Interviwer,,You will tell me more about that coz I will also be intrested that you know here on campus you also speak Luo?,You will tell me more about that coz I will also be intrested that you know here on campus you also speak Luo?,,
,Lily 2,,Yah (agree) I speak Luo with my friends…(interrupted),Yah (agree) I speak Luo with my friends…(interrupted),,
,Interviwer,,With your Luo friends…,With your Luo friends…,,
,Lily 2,,"Mmmm(agree) ok but others if maybe they are not getting the language I'll have to translate coz  I speak it at times I forget and speak Luo then I'll say ""ahh!! I was saying this""","Mmmm (agree) ok but others if maybe they are not getting the language I'll have to translate coz  I speak it at times I forget and speak Luo then I'll say ""ahh!! I was saying this""",,"SM: Accomodation OLF; ""I'll have to translate"" "
,Interviwer,,"Even when a person is not a Luo. (both laughs) So when you see a person like this, the first language that comes to your mind…","Even when a person is not a Luo. (both laughs) So when you see a person like this, the first language that comes to your mind…",,
,Lily 2,,Not Luo not Luo..(both laughs).,Not Luo not Luo..(both laughs).,,
,Interviwer,,But when you see a Luo the first language that comes to your mind...(interrupted),But when you see a Luo the first language that comes to your mind...(interrupted),,
,Lily 2,,Of course I will shout in Luo ask him where is  going to…yah yah (agree),Of course I will shout in Luo ask him where is  going to…yah yah (agree),,
,Interviwer,,"when you see a person that is…..(not clear) how about with your friends, what language do you use? Your friends at home not here.","when you see a person that is…..(not clear) how about with your friends, what language do you use? Your friends at home not here.",,
,Lily 2,,"At home we use mother tongue coz many us we are Luo's so you will find us speaking mother tongue unless we discussing something like shoes, maybe clothes.","At home we use mother tongue coz many us we are Luo's so you will find us speaking mother tongue unless we discussing something like shoes, maybe clothes.",,
,Interviwer,,You discuss shoes in Deluo?,You discuss shoes in Deluo?,,
,Lily 2,,"Ok it’s hard you know the type of shoes you know we just know the names in English will just say like for example ""wadge""(nickname of a shoe) you cannot tell somebody in Luo what wadge means<Swahili>sasa</Swahili>you know you will have to discuss in Swahili.","Ok it’s hard you know the type of shoes you know we just know the names in English will just say like for example ""wage""(nickname of a shoe) you cannot tell somebody in Luo what wage means<English>now</English>you know you will have to discuss in Swahili.",,
,Interviwer,,Wadge would be the fashion that time so you will want to really wear the wadge.,Wage would be the fashion that time so you will want to really wear the wage,,
,Lily 2,,Most probably (both laughs),Most probably (both laughs),,
,Interviwer,,So your friends mostly Luo…,So your friends mostly Luo..,,
,Lily 2,,We speak in Luo when we picking(catching up) on one another especially……(pause),We speak in Luo when we picking (catching up) on one another especially……(pause),,
,Interviwer,,Ohh!! Ok.,Ohh!! Ok.,,
,Lily 2,,"Yah, we pick on each other a lot mmh!","Yah, we pick on each other a lot mmh!",,
,Interviwer,,You are teasing yah. So Luo is the best to do the teasing.,You are teasing yah. So Luo is the best to do the teasing.,,
,Lily 2,,Yah yah (agree). ,Yah yah (agree).,,
,Interviwer,,Ok and how about those friends of yours at home who are not Luo speakers?,Ok and how about those friends of yours at home who are not Luo speakers?,,
,Lily 2,,"Ok, the ones who are not Luo speakers, you'll find maybe they have to learn because that’s the oder of the day. It’snot like<Swahili>unajua</Swahili>ok when ahh… before I came to Eldoret (name of town)  you know I was like ""when I go this Moi University probably I will find everybody speaking in Kalenjin in the town everybody is speaking, the business taking place in Kalenjin"" coz you know...(interrupted)","Ok, the ones who are not Luo speakers, you'll find maybe they have to learn because that’s the oder of the day. It’snot like<English>you know</English>ok when ahh…before I came to Eldoret (name of town)  you know I was like ""when I go this Moi University probably I will find everybody speaking in Kalenjin in the town everybody is speaking, the business taking place in Kalenjin"" coz you know... (interrupted)",,
,Interviwer,,<Swahili>Kwasababu wewe uko huku</Swahili>you are that…..(not clear),<English>Because you are here</English>you are that…..(not clear),,
,Lily 2,,Kisumu everywhere is Luo even in a<Sheng>boda boda</Swahili>they don’t know your tribe…(interrupted),Kisumu everywhere is Luo even in a<Slang>motorcyclist(medium of transport)</Swahili>they don’t know your tribe…(interrupted),,
,Interviwer,,<Swahili>Ata<Sheng>boda boda?,<English>Even<Slang> motorcyclist?,,
,Lily 2,,"Eaah! (agree) they will not ask you your tribe they will just ask you<Swahili>""unaenda wapi?""</Swahili>in mother tongue.","Eaah! (agree) they will not ask you your tribe they will just ask you<English>""where are you going?""</English>in mother tongue.",,
,Interviwer,,Just say it in mother tongue?,Just say it in mother tongue?,,
,Lily 2,,"Ok let me ask ""Ethi-kanye?""(Luo native) they will be like<Swahili>""naenda hivi""</Swahili>you know…(interrupted)","Ok let me ask ""Ethi-kanye?""(Luo native) they will be like<English>""am going this way""</English>you know…(interrupted)",,
,Interviwer,,Athi (Luo native language) <Swahili> ni </Swahili> home or something…mmh.,Athi (Luo native language) <English> is </English> home or something…mmh.,,
,Lily 2,,Yah (agree) so<Swahili>unajua</Swahili>it's just the nom even if you go to a shop they will ask you what you want in mother tongue and such stuff. So you know when I was coming this side I was oh my God I am going to be doomed what am I going to…(interrupted) ,Yah (agree) so<English>you know unajua</English>it's just the nom even if you go to a shop they will ask you what you want in mother tongue and such stuff. So you know when I was coming this side I was oh my God I am going to be doomed what am I going to…(interrupted) ,,
,Interviwer,,<Swahili>Ukishuka Eldoret…Mmm,<English>when you alight in Eldoret…Mmm,,
,Lily 2,,"Yah(agree), how will I even talk to people? Where will I know am going to?<Swahili>mbaka sasa</Swahili>but when I come to this side people really don’t speak their language as much Luo do yah (agree), they speak a lot of Swahili especially, so I was like this people are so different I got embarrased..(interrupted).","Yah (agree), how will I even talk to people? Where will I know am going to?<English>until now</English>but when I come to this side people really don’t speak their language as much Luo do yah (agree), they speak a lot of Swahili especially, so I was like this people are so different I got embarrased..(interrupted).",,
,Interviwer,,What was the reason?,What was the reason?,,
,Lily 2,,"I don’t know maybe Luos you know Luos bragg(showing off) a lot (both laugh), So you know we are too proud.","I don’t know maybe Luos you know Luos bragg(show off) a lot (both laugh), So you know we are too proud(interrupreted)",,
,Interviwer,,Proud of their language and identity  these other people don’t care much.,Proud of their language and identity these other people don’t care much.,,
,Lily 2,,Yah(agree) you just find one or two people speaking in their language but it's so rare yah.,Yah(agree) you just find one or two people speaking in their language but it's so rare yah.,,
,Interviwer,,Mmmh.. Mmmh.(agree) how about those friends in school or in campus?,Mmmh.. Mmmh.(agree) how about those friends in school or in campus?,,
,Lily 2,,"Ok in school many people preffer speaking in English or Swahili yah, so you know I don’t know whether it's because they are bragging(showing off) or because they are used to it but some people say like ok you find some Luos don’t want to speak in mother tongue you will find them saying<Swahili>ati</Swahili>they know mother tongue but they cannot speak that they are not used to speaking it so you know me I wonder<Swahili>kwani</Swahili>where are you from but otherwise the people I work with mainly are mother tongue speakers so you know you will find us maybe speaking in mother tongue when we want to talk about somebody maybe passing and you know is not luo we just say ok ""we are speaking Luo"" say(interrupted)","Ok in school many people preffer speaking in English or Swahili yeah, so you know I don’t know whether it's because they are bragging(showing off) or because they are used to it but some people say like ok you find some Luos don’t want to speak in mother tongue you will find them saying<English>that</English>they know mother tongue but they cannot speak that they are not used to speaking it so you know me I wonder<English>that</English>where are you from but otherwise the people I work with mainly are mother tongue speakers so you know you will find us maybe speaking in mother tongue when we want to talk about somebody maybe passing and you know is not luo we just say ok ""we are speaking Luo"" say(interrupted)",,Lily preffer to speak in English and Swahili in school to accommodate everybody in school and also in class.,
,Interviwer,,Especially with your friend Laura (both Laugh.,Especially with your friend Laura (both Laugh.,,,
,Lily 2,,"Yah(agree) Laura so we want to like gossip something say<Swahili>hiyo</Swahili>trouser<Swahili>hiyo</Swahili>trouser we just ""longno longno""(luo native langugae for Trouser)  but don’t speak it Swahili or English coz maybe the person will get what you are saying so we avoid that yah.","Yah(agree) Laura so we want to like gossip something say<English>that</English>trouser<Englishi>that</English>trouser we just ""longno longno""(luo native langugae for Trouser)  but don’t speak it Swahili or English coz maybe the person will get what you are saying so we avoid that yah.",,Lily's accommodates her friend Laura friendship on their style of langauge in communication.,
,Interviwer,,"Ok, so with your friends all those languages come in, mother tongue, Deluo, that is and English and Swahili.","Ok, so with your friends all those languages come in, mother tongue, Deluo, that is and English and Swahili.",,,
,Lily 2,,"Yah(agree), but I really find a hard time speaking to people who are not Luo coz you know I am really really used to Luo so you know at times whe you seat like with people who are Kisii, or maybe kiuks(Kikuyu) you know I will just be myself speaking in mother tongue and they will be<Swahili>umesema</Swahili>and I will be like(interrupted).","Yah (agree), but I really find a hard time speaking to people who are not Luo coz you know I am really really used to Luo so you know at times whe you seat like with people who are Kisii, or maybe kiuks(Kikuyu) you know I will just be myself speaking in mother tongue and they will be<English>you have said</English>and I will be like(interrupted).",,,
,Interviwer,,But your English is is good is pretty good I don’t know about your Kiswahili if you are not speaking much of it now but I know your English is good.,But your English is is good is pretty good I don’t know about your Kiswahili if you are not speaking much of it now but I know your English is good.,,,
,Lily 2,,"Ok, I speak in English but you know what am used to is..ahh mother toungue so you when we are maybe making ok, this is official business.","Ok, I speak in English but you know what am used to is..ahh mother toungue so you when we are maybe making. ok, this is official business.",,,
,Interviwer,,"It's not official, this is not official really when you are in class but this one is not official.","It's not official, this is not official really when you are in class but this one is not official.",,Sharp attack by the interviewer in the way he corrected Lily. This showed power in communication.,
,Lily 2,,"Ok when we are in the hostel maybe watching a movie you know maybe someone is doing something and you what to explain just speak in mother tongue and then you will be<Swahili>umesema</Swahili>ok I have to translate and say ""oooh sorry sorry"" please I what I was saying.","Ok when we are in the hostel maybe watching a movie you know maybe someone is doing something and you what to explain just speak in mother tongue and then you will be<English>you have said</English>ok I have to translate and say ""oooh sorry sorry"" please I what I was saying... ",,,
,Interviwer,,So it happened frequently?,So it happened frequently?,,,
,Lily 2,,Yah (agree) a lot.,Yah (agree) a lot.,,,
,Interviwer,,The Luo is soo much.,The Luo is soo much.,,,
,Lily 2,,At list nowdays I am getting a hung of Swahili and English because at list I have been.,At list nowdays I am getting a hung of Swahili and English because at list I have been.,,,
,Interviwer,,Because now that you are moved from deluo area you are aware that there are people who are not..(not clear) the majority of the people are not frequently.,Because now that you are moved from deluo area you are aware that there are people who are not..(not clear) the majority of the people are not frequently.,,,
,Lily 2,,Yah(agree) I have got no option now.,Yah (agree) I have got no option now.,,,
,Interviwer,,"Tell me you seem to think ok, you seem to be convinced that Deluo or your mother tongue is very important right? How about English, do you think English is important?","Tell me you seem to think ok, you seem to be convinced that Deluo or your mother tongue is very important right? How about English, do you think English is important?",,,
,Lily 2,,Yah (agree) English is equally important.,Yah (agree) English is equally important.,,Lily likes to use Yah which means yes or point to agree.,
,Interviwer,,Equally important!,Equally important!,,,
,Lily 2,,"Ok, not really, Ok I don’t like I would say preffer one language to the other coz I believe you are suppose to learn all the languages because mother tongue wil help me in my home are like in Kisumu, Nyanza (names of town)","Ok, not really, Ok I don’t like I would say preffer one language to the other coz I believe you are suppose to learn all the languages because mother tongue wil help me in my home are like in Kisumu, Nyanza (names of town)",,,
,Interviwer,,What is the importance of English? Why is it important? ,What is the importance of English? Why is it important? ,,,
,Lily 2,,"Ok English is important because first of all if I want to get a job,I'll have to speak in English or Swahili, and since I preffer English and since a preffer English I rather speak in English and again addressing very important issues, you know some issues cannot be just be addressed in any language in any manner all have.","Ok English is important because first of all if I want to get a job,I'll have to speak in English or Swahili, and since I preffer English and since a preffer English I rather speak in English and again addressing very important issues, you know some issues cannot be just be addressed in any language in any manner all have.",,,
,Interviwer,,Like the wadges.,Like the wadges.,,,
,Lily 2,,Not wadges(both laughs),Not wadges(both laughs),,,
,Interviwer,,"Because you say, wadges when we are talking wadges you have to be in English, ok, important issues like?","Because you say, wadges when we are talking wadges you have to be in English, ok, important issues like?",,,
,Lily 2,,"Importance issues like for example, I want to talk to a doctor, a teacher, a lecturer.","Importance issues like for example, I want to talk to a doctor, a teacher, a lecturer.",,,
,Interviwer,,What if this doctor is Luo.,What if this doctor is Luo.,,,
,Lily 2,,"Ok, if he is Luo you know obviously the Luo part, ok even when you go to the hospital in Kisumu and the doctor is Luo you know first of all you will not speak in Luo you will first speak, ask you what's wrong with you maybe after examining you<Swahili>ndio atakuuliza</Swahili>something in mother tongue<Swahili>akuulize mahali umetoka mmh yah.","Ok, if he is Luo you know obviously the Luo part, ok even when you go to the hospital in Kisumu and the doctor is Luo you know first of all you will not speak in Luo you will first speak, ask you what's wrong with you maybe after examining you<English>will ask you</English>something in mother tongue<English>ask you where you come from mmh yah.",,,
,Interviwer,,But do you find prombles for example descrbing that illness that you have in Deluo that you now have to say it in English. ,But do you find prombles for example descrbing that illness that you have in Deluo that you now have to say it in English. ,,,
,Lily 2,,Yah(agree) at times you know you have some sot of sickness maybe the doctor was speaking in you in luo so you cannot really get but you can know it in English so I will have to translate.,Yah(agree) at times you know you have some sot of sickness maybe the doctor was speaking in you in luo so you cannot really get but you can know it in English so I will have to translate.,,,
,Interviwer,,And the reverse?,And the reverse?,,,
,Lily 2,,Yah(agree) it also happens.,Yah (agree) it also happens.,,,
,Interviwer,,That sometimes you cannot expalin something in English if you use Luo.,That sometimes you cannot expalin something in English if you use Luo.,,,
,Lily 2,,"Yah(agree) maybe something really personal and you just know from your Luo coz Luo will tell you ""this is this, this is the disease"" and you didn’t know it's name so you will have to go there and say have been hearing people saying ""it is this"" so the doctor will always be recap and say ""I know it too"".","Yah (agree) maybe something really personal and you just know from your Luo coz Luo will tell you ""this is this, this is the disease"" and you didn’t know it's name so you will have to go there and say have been hearing people saying ""it is this"" so the doctor will always be recap and say ""I know it too"".",,
,Interviwer,,"Mmmh, so you think it's important to know English.","Mmmh, so you think it's important to know English.",,
,Lily 2,,Yah(agree) a lot it is important to know English.,Yah(agree) a lot it is important to know English.,,
,Interviwer,,"A part from getting a job and talking to, addressing serious issues in campus here.","A part from getting a job and talking to, addressing serious issues in campus here.",,
,Lily 2,,"But ok English is important because let me just say movies that we watch a lot in mother tougue yah, the placeses we hung out people don’t speak in mother tougue, the music we listen, especially music, music I listen in English mostly..(interrupted)","But ok English is important because let me just say movies that we watch a lot in mother tougue yah, the placeses we hung out people don’t speak in mother tougue, the music we listen, especially music, music I listen in English mostly..(interrupted)",,
,Interviwer,,"But I love Luo music especially, they are very nice Tonny Nyandundo(Luo Musician) is soft.","But I love Luo music especially, they are very nice Tonny Nyandundo (Luo Musician) is soft.",,
,Lily 2,,Ok the Luo music is soft you know it's kind of romantic but my prefference is RNBs.,Ok the Luo music is soft you know it's kind of romantic but my prefference is RNBs.,,
,Interviwer,,RNBs..,RNBs..,,
,Lily 2,,Yah(agree) I preffer and most of them let or let me say all of them are in English.,Yah(agree) I preffer and most of them let or let me say all of them are in English.,,
Choice of language used in songs,Interviwer,,Do you think we can have a Luo song done in RNB? ,Do you think we can have a Luo song done in RNB?,,
,Lily 2,,"Really, I don’t think so, it is too slow they take too long like, one song can be in fifteen minutes<Swahili>utakuwa unasikia wimbo moja</Swahili>fifteen minutes really?","Really, I don’t think so, it is too slow they take too long like, one song can be in fifteen minutes<English>will you be listening one song<Englishi>fifteen minutes really?",,
,Interviwer,,<Swahili>Kama Tonny Nyandundo.,<English>like Tonny Nyandundo.,,
,Lily 2,,<Swahili>Aaah.. Hapana hizo nitu ya watu wakubwa  wakubwa wachatu waziskie.,"<English>Aaah, no those are for big people let them listen.",,
,Interviwer,,<Swahili>Kama mimi</Swahili>I enjoy Tonny Nyandundo by the way it's just..(interrupted),<English>like me</English>I enjoy Tonny Nyandundo by the way it's just..(interrupted),,
,Lily 2,,"You don’t look Tonny Nyandundo fun, you don’t, ok I mean do you really listen to the songs? Do you hear to what the are saying? ","You don’t look Tonny Nyandundo fun, you don’t, ok I mean do you really listen to the songs? Do you hear to what the are saying? ",,
,Interviwer,,"The problem I might not get that, but I have Luo friends to tell me<Swahili>hii ni</Swahili>but I just enjoy the beat and the way he sings, you know music sometimes it’s not just about the message what he is talking about. ","The problem I might not get that, but I have Luo friends to tell me<English>this is</English> but I just enjoy the beat and the way he sings, you know music sometimes it’s not just about the message what he is talking about. ",,
,Lily 2,,Maybe the beat.,Maybe the beat.,,
,Interviwer,,Yah(agree) the beat you are enjoing that. So you say English is very important is that your words?,Yah(agree) the beat you are enjoing that. So you say English is very important is that your words?,,
,Lily 2,,"Yah(agree) English is very important I believe everyone should know English yah, at list even if you have your mother tongue and another complementary language but English must be there yah.","Yah(agree) English is very important I believe everyone should know English yah, at list even if you have your mother tongue and another complementary language but English must be there yah.",,
,Interviwer,,Mmmh (agree) so you think you are in a better position than those people in your village?,Mmmh (agree) so you think you are in a better position than those people in your village?,,
,Lily 2,,Off course am in a better position because ….(interrupted).,Off course am in a better position because ….(interrupted).,,
,Interviwer,,"what are the disadvantage in, there are living there are..(not clear)","what are the disadvantage in, there are living there are..(not clear)",,
Language through media,Lily 2,,"Ok, there living there but you know lets say for example TV there are totally disadvantaged coz they did not hear what is been said maybe radio will favor them because they put there local stations.","Ok, there living there but you know lets say for example TV there are totally disadvantaged coz they did not hear what is been said  maybe radio will favor them because they put there local stations.",,
,Interviwer,,"But now days we have yah local stations like Ramogi, Ramogi Fm.","But now days we have yah local stations like Ramogi, Ramogi Fm.",,
,Lily 2,,"Yah(agree) they put there local stations that’s only place that it will favor them,but even when you listen the radio station for example Ramogi, you will hear someone someone calling and speaking in English until the guy will be like ""please speak in mother tongue, please speak in mother tongue"" in fact this is there local station thats the only place that will favor them.","Yah (agree) they put there local stations that’s only place that it will favor them,but even when you listen the radio station for example Ramogi, you will hear someone someone calling and speaking in English until the guy will be like ""please speak in mother tongue, please speak in mother tongue"" in fact this is there local station thats the only place that will favor them.",,
,Interviwer,,This a mother tongue station.,This a mother tongue station.,,
,Lily 2,,"Yah(agree) you know everyone is used to English you cannot say that it's a Luo station everything is in Luo yah, no.","Yah(agree) you know everyone is used to English you cannot say that it's a Luo station everything is in Luo yah, no.",,
,Interviwer,,So are you saying that you can servive without a mother tongue but can't servive without English.,So are you saying that you can servive without a mother tongue but can't servive without English,,
,Lily 2,,Yah(agree)  I believe so unless..(interrupted) ,Yah (agree)  I believe so unless..(interrupted) ,,
,Interviwer,,You believe so. So do you think it's important to know a mother tongue a native langugae.,You believe so. So do you think it's important to know a mother tongue a native langugae.,,
,Lily 2,,"Ok, it is important to know a native language but…(interrupted)","Ok, it is important to know a native language but…(interrupted)",,
,Interviwer,,"So the importance is it at part, English and mother tongue.","So the importance is it at part, English and mother tongue.",,
,Lily 2,,English is more important.,English is more important.,,
,Interviwer,,So mother tongue comes?,So mother tongue comes?,,
,Lily 2,,After English yah.,After English yah.,,
,Interviwer,,why why is It important first to know a mother tongue.,why why is It important first to know a mother tongue.,,
,Lily 2,,To know a mother tongue I believe it's good to keep up our culture our heritage at list you have a sence of belonging yah.,To know a mother tongue I believe it's good to keep up our culture our heritage at list you have a sence of belonging yah.,,
,Interviwer,,"Like you, you telling me Luo that you respect Luo Luo Luo so much, so is that important to you?","Like you, you telling me Luo that you respect Luo Luo Luo so much, so is that important to you?",,
