Name of the file,Topic,Participant ,Ln,Dialogue,Translation,CSs/DMs,Comments
Mary 2,language,Interviewer ,oo.oo,"So I have a few questions for you here about basically your everyday life, leisure activities and here on campus and even at home. So I want to know what languages do you typically use  with your family, what languages?","So I have a few questions for you here about basically your everyday life, leisure activities and here on campus and even at home. So I want to know what languages do you typically use  with your family, what languages?",,
,,Mary 2,,Swahili.,Swahili.,,
,,Interviewer ,,Swahili which other one? ,"Swahili, which other one?",,
,,Mary 2,,Mostly Swahili… yeah!,Mostly Swahili… yeah!,,
,,Interviewer ,,"Mostly just swahili yeah. Why, why do you.. Coz I know you speak more than two languages, why do you use swahili? ","Mostly just Swahili yeah. Why, why do you.. Coz I know you speak more than two languages, why do you use Swahili?",,
,,Mary 2,,"Ok the reason as to  why I use swahili is because ahh! One, I think it's the language that I have been brought up with  yeah! and ah generally (laughter) if I may say my dad<Swahili>ni msee wa ghetto</Swahili>he doesn’t know as I<Swahili>kaa kikuyu hivo, goso lakini</Swahili>we don't communicate in English mostly<Swahili> ile</Swahili>once yeah!","Ok the reason as to  why I use swahili is because ahh! One, I think it's the language that I have been brought up with  yeah! and ah generally (laughter) if I may say my dad<English>is from the slums</English>he doesn’t know as I<English>lets say like  kikuyu, but English</English>we don't communicate in English mostly<English>it's</English>once yeah!",,
,,Interviewer ,,"Ok, and how about with your friends? What languages do you use?","Ok, and how about with your friends? What languages do you use?",,
,,Mary 2,,"Ok, my friends, it actually depends, it depends, there are certain friends I talk to in English and others I'll talk to in Swahili, yeah.","Ok, my friends, it actually depends, it depends, there are certain friends I talk to in English and others I'll talk to in Swahili, yeah.",,
,,Interviewer ,,"Ok, so English, Swahili with your friends, so that, say it depends, what do you mean? why would you use English with some friends?","Ok, so English, Swahili with your friends, so that, say it depends, what do you mean? why would you use English with some friends?",,
,,Mary 2,,"Ok, well it depends, maybe if a friend talks to you in English you have to respond in English meaning that your communication will be based on that. And Swahili generally that is the language that most people most of my friends use actually and maybe<Swahili>Shegg saa zingine yeah.","Ok, well it depends, maybe if a friend talks to you in English you have to respond in English meaning that your communication will be based on that. And Swahili generally that is the language that most people most of my friends use actually and maybe<English>Slang sometimes.",,
,,Interviewer ,,How about when you are in school? ,How about when you are in school? ,,
,,Mary 2,,"School, ok, even in school, it does depends with environment.","School, ok, even in school, it does depends with environment.",,
,,Interviewer ,,Which languages first.,Which languages first.,,
,,Mary 2,,"Ok fine mostly English, Swahili and Shegg.They are three yeah.","Ok fine mostly English, Swahili and slang.They are three yeah.",,
,,Interviwer ,,So what determine when you use which in school?,So what determine when you use which in school?,,
,,Mary 2,,"The environment, most of the times maybe when am in the studio, maybe I will communicate in English.","The environment, most of the times maybe when am in the studio, maybe I will communicate in English.",,
,,Interviewer ,,When you say studio what do you mean?,When you say studio what do you mean?,,
,,Mary 2,,"Ok fine, am doing media, and we have a studio down there sometimes I do go present stuff yeah.","Ok fine, am doing media, and we have a studio down there sometimes I do go present stuff yeah.",,
,,Interviewer ,,"So studio it's English, because is it an English station or?","So studio it's English, because is it an English station or?",,
,,Mary 2,,"It is both English and Swahili, but the environment there, the people you meet mostly you will converse in English but Swahili also.. Yeah.","It is both English and Swahili, but the environment there, the people you meet mostly you will converse in English but Swahili also.. Yeah.",,
,Importance of English,Interviewer ,,"Aaah.. Do you think it is important for..for you to know English, for you to know English?","Aaah.. Do you think it is important for..for you to know English, for you to know English?",,
,,Mary 2,,"Well, aah. Yeah I think it is important.aah I tend to think that.","Well, aah. Yeah I think it is important.aah I tend to think that.",,
,,Interviewer ,,It is important?,It is important?,,
,,Mary 2,,"Yeah, it is actually important so just important.","Yeah, it is actually important so just important.",,
,,Interviewer ,,What reasons do you think English is important for you personally?,What reasons do you think English is important for you personally?,,
