Topic,Participant ,ln,  ,Translation,Dm/Ds,Comments
Language and Family,Interviwer,OO.00,Thank you for your time for making time to be with me for this converasation and language use.,Thank you for your time for making time to be with me for this converasation and language use.,,
,Samantha 2,,<Swahili> Nimeelewa.,<English> I have undersand.,,
,Interviwer,,"Yah, tell me what language do you specifially do use with your family.","Yah, tell me what language do you specifially do use with your family.",,
,Samantha 2,,"My family being that <Swahili> mimi ni Mgiriama (tribe) huwanatumia Kigiriama(Languege) yah, ambayo ni Kimijikenda.","My family being that <English>I am a Mgiriama (tribe) I usually  use Kigiriama(Languege) yah, that is Kimijikenda.",,
,Interviwer,,"So that is, you would be using that with your parents.","So that is, you would be using that with your parents",,
,Samantha 2,,"Yah, (agree) mostly, mostly my mum but <Swahili> sana sana nikuwa na dad huwanatumia Kiswahili.","Yah, (agree) mostly, mostly my mum but <English> mosty when am with dad I often use Swahili.",,
,Interviwer,,"Why, <Swahili> kwanini mum hutumie Kigiriama </Swahili> and then your father Swahili.","Why, <English> why use Kigiriama with mum </English> and then your father Swahili.",,
,Samantha 2,,<Swahili> Tumelelewa hivyo...(interrupted),<English> We have been brought up like that…(interrupted),,
,Interviwer,,"Are they both, are they both Giriamas?","Are they both, are they both Giriamas?",,
,Samantha 2,,"Yah (agree) all of them, eeeh! <Swahili> Sasa tumelelewa hivyo tumezoea kuongea na dad Kiswahili </Swahili> but although sometimes <Swahili> hutumia Kigiriama but sana sana huwa na dad hutumia kiswahili ama kingereza </Swahili>  and then mum <Swahili> huwa mum tunatumia lugha ya nyumbani.</Swahili>","Yah (agree) all of them, eeeh! <English> so we have are brought up like that we are used talking with dad Swahili </English but although sometimes <English> he use Kigiriama but most of the time he use Swahili or English </English> and then mum <English> mum often use native language.",,
,Interviwer,,"<Swahili> Na </Swahili> brothers, sisters what do you use.","<English> And </English> brothers, sisters what do you use.",,
,Samantha 2,,Brothers Kigiriama.,Brothers Kigiriama.,,
,Interviwer,,"Kigiriama Eeeh, you use Swahili with your dad <Swahili> lakini </Swahili> Kigiriama with them.","Kigiriama Eeeh, you use Swahili with your dad <English>but </English> Kigiriama with them.",,
,Samantha 2,,"Yes, <Swahili> na brothers wangu sana sana tunatumia Kigiriama eeh! Yah.","Yes, <English> and mostly brothers we use Kigiriama eeh! Yah. ",,
,Interviwer,,"Ok, <Swahili> na wale </Swahili> friends at home","Ok, <English> and those </English> friends at home.",,
,Samantha 2,,"Friends at home, Swahili.","Friends at home, Swahili.",,
,Interviwer,,Any English at all.,Any English at all.,,
,Samantha 2,,<Swahili> Eeeh (agree) kiasi.,<English> Eeeh (agree) a bit.,,
,Interviwer,,<Swahili> kiasi.,<English> A bit.,,
,Samantha 2,,<Swahili> Wale ambao </Swahili> maybe <Swahili> wako </Swahili> educated <Swahili> kidogo </Swahili> maybe <Swahili> nitatumia kingereza </Swahili> sometimes <Swahili> hapa na pale.,<English> Those </English> maybe <English> who are </English> educated <English> a little bit </English> maybe <English> I will use English </English> sometimes <English> here and there.,,
,Interviwer,,<Swahili>  Ni wale wako nyumbani kawaida.,<English> They are those who are at home often.,,
,Samantha 2,,<Swahili> Wataona ni nyumbanitu kawaida sana sana ni Kiswahili ama Kigiriama eeh.,<English> They will see it's only often at home mostly it’s Swahili or Kigiriama eeh.,,
,Interviwer,,So that area <Swahili> ni ya wagiriama.,So that area <English> is for the Giriama.,,
,Samantha 2,,As in <Swahili> kama mahali naishi ni Lamu(place) tunaishi na waswahili </Swahili> but still <Swahili> kuna wagiriama </Swahili> around yah.,As in <English> like where I live in Lamu(place) we live with Muslims </English> but still there are <English>Giriama </English> around yah.,,
,Interviwer,,<Swahili> Na wale waswahili </Swahili> what do you use with them coz am sure you have some Swahili friend.,<English> And those Muslims </English>  what do you use with them coz am sure you have some Swahili friend.,,
,Samantha 2,,<Swahili> Tunatumiatu…(interrupted) </Swahili> most of them by the way<Swahili>  ni waswahili sasa tunatumia Kiswahili sana sana. ,<English> We use …(interrupted) </English> most of them by the way <English> they are now Muslims we use Swahili more often. ,,
,Interviwer,,"<Swahili> Na Kiswahili chako na chao, </Swahili> is it the same Swahili or is it <Swahili> tofauti.","<English> And your Swahili and theirs, </English> is it the same Swahili or is it <English> different. ",,
,Samantha 2,,"<Swahili> Iko tofauti </Swahili> as in<Swahili>  kama mimi ile Kiswahili saa hii natumia hapa ni tofauti na ile natumia nyumbani. Sasa kama home, tunatumia Kibajuni (native dialect). (both laugh).","<English> It's different </English> as in <English> like me that Swahili I often use now is different with that I use at home. If it's at home, we use Kibajuni (native dialect). (both laugh).",,
,Interviwer,,"Bajuni is now a dialect on Swahili, <Swahili> na  ya hapa ni gani, ama hii ni ya bara?</Swahili> ","Bajuni is now a dialect on Swahili, <English> and what about for here or this is for country?",,
,Samantha 2,,Yah (agree) hii ni ya bara </Swahili> we can say <Swahili> ni ya bara kama hapa </Swahili> maybe <Swahili> utatumia </Swahili> some <Swahili> shegg hapa na pale kizungu hapa na pale </Swahili> but <Swahili> kama </Swahili> home <Swahili> ile community….(interrupted) ,Yah (agree) <English> this is for country </English> we can say <English> this is for country like here </English> maybe <English> you will use </English> some <English> Slang here and there English here and there </English> but <English> if it's at </English> home <English> that </English> community….(interrupted) ,,
,Interviwer,,<Swahili> Kwa hivo unaelewa Sheng.,<English> So you understand Slang.,,
,Samantha 2,,"<Swahili> Sheng sijuhi sana hivo  </Swahili> but since <Swahili> nikuje hapa nimeshika zingine eeh!</Swahili> But <Swahili> kama nikiwa </Swahili> home <Swahili> huwa natumia sana sana kama </Swahili> maybe <Swahili> narelate na wale, ile </Swahili> community <Swahili> ambayo imetuzunguka </Swahili> called Wabajuni eeh! <Swahili> Sasa huwa natumia Bajuni yao huwa natumia Kibajuni.","<English> I don't know Slang that much </English> but since <English> coming here I have learned others eeh! </English> But <English> when I am at </English> home <English> I often mostly use if </English> maybe <English> I relate with others, that </English> community <English> that have suround us </English> called Wabajuni eeh!<English> now I use their Bajuni I often use Kibajuni.",,
,Interviwer,,So you are fluent in Kibajuni.,So you are fluent in Kibajuni.,,
,Samantha 2,,Yah (agree) I can speak kibajuni very well.,Yah (agree) I can speak kibajuni very well.,,
,Interviwer,,<Swahili> Na </Swahili>  friends <Swahili> wako </Swahili> in school <Swahili> hapa </Swahili> campus.,<English> And with your </English> friends here in school  campus.,,
