Name of the file,Topic,Participant,CN,Dialogue,Translation,CSs/s,Comments
130615_003,Language ,Interviewer,,"Welcome Alvin to this uuh, interview session. And we're just talking about the: languages we use in the social setting. So I shall just be asking you some questions.","Welcome Alvin to this uuh, interview session. And we're just talking about the: languages we use in the social setting. So I shall just be asking you some questions.",,
,,Alvin,,Yea.,Yea.,,
,,Interviewer,,As you respond to them.,As you respond to them.,,
,,Alvin,,Ok. It's okay.,Ok. It's okay.,,
,,Interviewer,,"Okay. And whatever information you're going to give will go a long way to assist in meeting the objectives of this research.  Now the first question that I will ask you Al is that, which kind of language do you normally use with your family? At home which kind of language do you normally use?","Okay. And whatever information you're going to give will go a long way to assist in meeting the objectives of this research.  Now the first question that I will ask you Al is that, which kind of language do you normally use with your family? At home which kind of language do you normally use?",,
,,Alvin,,"Now with my family it depends with the:-the person I'm talking to. Yea, I have different members of the family.  If I'm talking to my-because I have got my granddad and grana.  If I talk to them I use my vernacular which is Dholuo.  ","Now with my family it depends with the:-the person I'm talking to. Yea, I have different members of the family.  If I'm talking to my-because I have got my granddad and grana.  If I talk to them I use my vernacular which is Dholuo.  ",,
,,Interviewer,,Dholuo?,Dholuo?,,
,,Alvin,,"Yea, that's what I use with them.  Because they don't understand Swahili neither do they understand English.  Aah, when I talk to my sisters and brothers, at times we find ourselves talking in Sheng.","Yea, that's what I use with them.  Because they don't understand Swahili neither do they understand English.  Aah, when I talk to my sisters and brothers, at times we find ourselves talking in Sheng.",,
,,Interviewer,,Ok.,Ok.,,
,,Alvin,,"Yea. But when we talk aah- but majorly it's sheng.  But when I talk to my dad at times maybe through the phone, at times it's like aah- a mode of aah- I don’t use sheng, I can decided to use vernacular depending on how he-he starts the conversation. Cuz at times my dad can start with English or Swahili.     ","Yea. But when we talk aah- but majorly it's sheng.  But when I talk to my dad at times maybe through the phone, at times it's like aah- a mode of aah- I don’t use sheng, I can decided to use vernacular depending on how he-he starts the conversation. Cuz at times my dad can start with English or Swahili.     ",,
,,Interviewer,,"Mm hh, and you end up speaking Swahili=","Mm hh, and you end up speaking Swahili=",,
,,Alvin,,"Speaking Swahili with him. Not that fluent but we just speak Swahili.  So at times again when my brothers and sisters call, I equally talk to them in Sheng or we at times talk in vernacular.  At times you find them saying ""I've missed talking…"" Cuz I've got a brother whose in aah- learning at University of Nairobi.  So he tells me ""I've missed talking in vernacular""","Speaking Swahili with him. Not that fluent but we just speak Swahili.  So at times again when my brothers and sisters call, I equally talk to them in Sheng or we at times talk in vernacular.  At times you find them saying ""I've missed talking…"" Cuz I've got a brother whose in aah- learning at University of Nairobi.  So he tells me ""I've missed talking in vernacular""",,
,,Interviewer,,In vernacular.,In vernacular.,,
,,Alvin,00:02:00mins,"Yea. So it depends with who- the people I'm talking to at home.  <Swahili label='refereeing'>Ikiwa ni mzazi, </Swahili label='refereeing'> depending on how they-he starts talking. So that is basically how I use the language back at home with my family.  ",Yea. So it depends with who- the people I'm talking to at home.  <English>If it's a parent</English> depending on how they-he starts talking. So that is basically how I use the language back at home with my family.  ,CS,SM: Refereeing. OLF: Alvin may have switched to Swahili when speaking about his parents in respect to them. 
,,Interviewer,,"Mm hh, and that applies to all your family members.  Most of your family members will also find it um, umm imperative to use a different language depending on the kind of person they are talking to.","Mm hh, and that applies to all your family members.  Most of your family members will also find it um, umm imperative to use a different language depending on the kind of person they are talking to.",,
,,Alvin,,"Yes, depending on=","Yes, depending on=", ,
,,Interviewer,,So that you find the grana and grandpa. How? Which language?,So that you find the grana and grandpa. How? Which language?, ,
,,Alvin,,"The grana and grandpa, they basically talk in vernacular, Dholuo","The grana and grandpa, they basically talk in vernacular, Dholuo",,
,,Interviewer,,In vernacular.,In vernacular.,,
,,Alvin,,"In vernacular.  Now again, when maybe I have a friend who has maybe come to visit me because I come closer to the Kisi. We border the Kisi people. I come from Nyanza the farthest part. We border the Kisi. So I have friends who are Kisi.  So when maybe they come home to maybe visit me or say hi,  I don't now use vernacular, we now don't use vernacular because we are going to be maybe sidelining them.  So when we are talking aah with my brothers, they are there, my cousins and these people are here, we have to restrict ourselves in either Sheng or, basically it is Sheng.  Yea, we don't use vernacular at that particular point.","In vernacular.  Now again, when maybe I have a friend who has maybe come to visit me because I come closer to the Kisi. We border the Kisi people. I come from Nyanza the farthest part. We border the Kisi. So I have friends who are Kisi.  So when maybe they come home to maybe visit me or say hi,  I don't now use vernacular, we now don't use vernacular because we are going to be maybe sidelining them.  So when we are talking aah with my brothers, they are there, my cousins and these people are here, we have to restrict ourselves in either Sheng or, basically it is Sheng.  Yea, we don't use vernacular at that particular point.",,
,,Interviewer,,"Mm hh, so while speaking with your friends, which kind of language do you normally use? ","Mm hh, so while speaking with your friends, which kind of language do you normally use? ",,
,,Alvin,,"Now I've got friends whom we come with from the same ethnic group Luo.  I've got friends who: are aah multi-ethnic, they come from different groups.  So when we talk with aah my friends who are:, who are Luo, at times we talk in Sheng, and then we end up maybe bringing in some Dholuo. Yea","Now I've got friends whom we come with from the same ethnic group Luo.  I've got friends who: are aah multi-ethnic, they come from different groups.  So when we talk with aah my friends who are:, who are Luo, at times we talk in Sheng, and then we end up maybe bringing in some Dholuo. Yea",,
,,Interviewer,,Thank you. ,Thank you. ,,
,,Alvin,00:04:00mins,"And aah, if they are my friends who don't come from my tribe, cuz I've friends who come, my roomates who come from Kalenjin community. So we have to, at times we do talk Sheng.  Now apart from that we've got friends who take the same courses as BA Kiswahili students. So when we are together with them we talk fluent Swahili. There's nothing like Sheng=","And aah, if they are my friends who don't come from my tribe, cuz I've friends who come, my roomates who come from Kalenjin community. So we have to, at times we do talk Sheng.  Now apart from that we've got friends who take the same courses as BA Kiswahili students. So when we are together with them we talk fluent Swahili. There's nothing like Sheng=",,
,,Interviewer,,Because all of you would understand Swahili?,Because all of you would understand Swahili?,,
,,Alvin,,"We would understand and we want ourselves-we want to get used to- <Swahili label='elaboration'> tuwe na uzoefu</Swahili label='elaboration'> so that maybe you don't find like you are a BA Kiswahili and somebody asks you <Swahili label='quotation'>""mbona we unaongea tu Sheng na wewe ni mtu wa Kiswahili?""</Swahili label='quotation'> ",We would understand and we want ourselves-we want to get used to- <English>so that we are used to</English> so that maybe you don't find like you are a BA Kiswahili and somebody asks you <English>How come you only speak Sheng and you are a Swahili person?</English> ,CS,SM: Elaboration and Quotation
,,Interviewer,,<Swahili>Ni kweli</Swahili>,<English>It's true</English>,,
,,Alvin,,Yea.,Yea.,,
