Name of the file,Topic,Participant,Time,Dialogue,Translation,CS/DM,Comments
WS213187,,Interviewer,00:00,"Eh- <zulu>baba, igama ungubani?</zulu>","Eh- <english>father, your name is?</english>",,
,,Participant,,uNqubeko,uNqubeko,,
,,Interviewer,,Mh,Mh,,
,,Participant,,And the surname=,And the surname=,,
,,Interviewer,,"<zulu>Hayi, angifuni kanjalo , uzobhala- uzosinika leyo</zulu> information <zulu>uma sesibhala la, siqhubeka. Mh- umbuzo wokuqala uthi,</zulu> what language or languages do you typically use with your family and why?","<english>No, I don't want it like that, you will write- you will give us that</english> information <english>when we write here, we continue. Mh- the first question is,</english> what language or languages do you typically use with your family and why?",,
,,Participant,,Mh- basically=,Mh- basically=,,
,,Interviewer,,"<zulu>Ube</zulu> free <zulu>nje, khuluma nje,</zulu> codeswitcher, ya.","<english>Be</english> free <english>just, just speak,</english> codeswitcher, ya.",,
,,Participant,,"Basically, eh <zulu>uma nginomndeni wami ngisebenzisa isiZulu.</zulu> But sometimes I do mix <zulu>isiZulu</zulu> with <zulu>iEnglish</zulu> because <zulu>kunama</zulu> family members <zulu>ami a- asi</zulu>understand<zulu>ayo i</zulu>English, <zulu>anginankinga ngokuthi akhulume ngayo.</zulu>","Basically, eh <english>when I am with my family I use Zulu.</english> But sometimes I do mix <english>Zulu</english> with <english>English</english> because <english>there are</english> family members <english>of mine that- do not</english>understand <english>the</english>English, <english>I don't have a problem when they use it.</english>",,
,,Interviewer,,Why do you use i- i- Zulu or English?,Why do you use i- i- Zulu or English?,,
,,Participant,,"Oh, English? Okay. The reason why <zulu>ngisebenzisa isiZulu</zulu> is because <zulu>abanye abasazi</zulu> like eh- <zulu>abantu abadala, ogogo bami abakaze- abantu abangakaze baye eskoleni=</zulu>","Oh, English? Okay. The reason why <english>I use Zulu</english> is because <english>others do not know</english> like eh- <english>elderly people, my grandmothers never- are people who never went to school=</english>",,
,,Interviewer,,Monolingual? <zulu>Bakhuluma-</zulu>,Monolingual? <english>They speak-</english>,,
,,Participant,,"<zulu>Bakhuluma isiZu- isiNgi- isiZulu kuphela.</zulu> Ya, no other language.","<english>They speak Zul- Eng- Zulu only.</english> Ya, no other language.",,
,,Interviewer,,<zulu>Manje besekubakhona=</zulu>,<english>Now there are=</english>,,
,,Participant,,"<zulu>Besekubakhona futhi ama</zulu> family members <zulu>afundile, lawa akwazi ukuthi athole ithuba lokufunda.</zulu>","<english>Also there are</english> family members <english>that are educated, those that got a chance to learn.</english>",,
,,Interviewer,,Okay. What language or languages do you use with friends and why?,Okay. What language or languages do you use with friends and why?,,
,,Participant,,"Eh- that differs- that will depend on the(…) area that I’m in.  Currently <zulu>njengoba ngila eThekwini,</zulu> eh I mix English and Zulu. Because most of my friends are academics or- or are still on the way of becoming academics. So most of the time we mix Zulu and English. When I’m at home I use Zulu because most of my friends=","Eh- that differs- that will depend on the(…) area that I’m in.  Currently <english>as I am here in Durban,</english> eh I mix English and Zulu. Because most of my friends are academics or- or are still on the way of becoming academics. So most of the time we mix Zulu and English. When I’m at home I use Zulu because most of my friends=",,
,,Interviewer,,At home are monolingual?,At home are monolingual?,,
,,Participant,,"Yes. Yes, yes.","Yes. Yes, yes.",,
,,Interviewer,,"What language or languages do you use in school? At the university, what do you use?","What language or languages do you use in school? At the university, what do you use?",,
,,Participant,,"Eh, most of the time it’s English. But I do use Zulu.","Eh, most of the time it’s English. But I do use Zulu.",,
,,Interviewer,,"Do you think it’s important to know English, and why?","Do you think it’s important to know English, and why?",,
,,Participant,,"Yes it is. Today in South Africa English is one of the biggest languages that is used and it’s one of the languages that is used worldwide, so it’s easy for me to use- to know English so that I’ll be able to communicate easily with others. Yes, as I am in=","Yes it is. Today in South Africa English is one of the biggest languages that is used and it’s one of the languages that is used worldwide, so it’s easy for me to use- to know English so that I’ll be able to communicate easily with others. Yes, as I am in=",,
,,Interviewer,,Speak your language=,Speak your language=,,
,,Participant,,"I’m in this university, <zulu>kunama</zulu> mixed cultures and- and many groups. <zulu>Abantu</zulu> come from different places <zulu>bazi ama</zulu> languages <zulu>amaningi, engingawazi, kubalula ukuthi si</zulu>communicate <zulu>nabo.</zulu>","I’m in this university, <english>there are</english> mixed cultures and- and many groups. <english>People</english> come from different places <english>know the</english> languages <english>that are many, that I don't know, it becomes easy to</english>communicate <english>with them.</english>",,
,,Interviewer,,Do you think it is important for anyone know his or her native language?,Do you think it is important for anyone know his or her native language?,,
,,Participant,,Yes. Very important. <zulu>Ukwazi- ukwazi=</zulu>,Yes. Very important. <english>To know- to know=</english>,,
,,Interviewer,,Why?,Why?,,
,,Participant,,"<zulu>Ukwazi ilanguage kukunikeza ibackground yeculture yakho.</zulu> So <zulu>ukwazi ilanguage yakho, amasiko akho awalahleki</zulu> and <zulu>izinto ezikanjalo. Kubalulekile kakhulu ukwazi ilanguage yakho. Coz- njengoba isikhathi sihhamba, uma uzoyiziba ilanguage yakho kuzogcina sekuhhamba sekuhhamba uqambe ugcine ungasayazi, ingasa</zulu> exist <zulu>ilanguage yakho. Kanti ilanguage ibalulekile</zulu> especially if <zulu>kwiyi</zulu> mother toungue <zulu>yakho.</zulu>","<english>To know the language gives you your cultural background.</english> So <english>to know your language, your traditions don't get lost</english> and <english>things like those. It is very important to know your language. Because- as time passes, if you ignore your language time will pass and you'll forget it, no longer</english> exist <english>your language. Indeed your language is important</english> especially if <english>it is</english> mother toungue <english>yours.</english>",,
,,Interviewer,,"Do you mix several languages in one conversation? If the answer is yes, when and why?","Do you mix several languages in one conversation? If the answer is yes, when and why?",,
,,Participant,,Ah- yes- eh- when eh- most of the times=,Ah- yes- eh- when eh- most of the times=,,
,,Interviewer,,<zulu>Iphi le-</zulu> languages when you speak?,<english>Which-</english> languages when you speak?,,
,,Participant,,Eh- most of the time.,Eh- most of the time.,,
,,Interviewer,,When?,When?,,
,,Participant,,When? Eh- when- I’m with my friends <zulu>la eVarsity.</zulu> Yes.,When? Eh- when- I’m with my friends <english>here at university.</english> Yes.,,
,,Interviewer,,Why?,Why?,,
