Name of the file,Topic,Participant,Time,Dialogue,Translation,CS/DM,Comments
DS500002,,Interviewer,00:00,"Okay <zulu>Bhuti wami, soqala ukuthi</zulu> eh, aah, what language do you typically use with family and why?","Okay <english>My brother,we'll start that</english> eh, aah, what language do you typically use with family and why?",,
,,Participant,,I only use Zulu.,I only use Zulu.,,
,,Interviewer,,You only use Zulu?,You only use Zulu?,,
,,Participant,,Yeah.,Yeah.,,
,,Interviewer,,Why?,Why?,,
,,Participant,,Simply because in my area they only speak Zulu.,Simply because in my area they only speak Zulu.,,
,,Interviewer,,"Okay, alright. <zulu>Ukhulume uhlanganise- yazi khululeka ukhulume uhlanganise- indlela okhulumangayo vele,</zulu> <afrikaans>ja.</afrikaans> Hmm… Eeh… Aah… <zulu>Umunabangani bakho,</zulu> when you got your friends which languages do you use?","Okay, alright. <english>Speak and mix- you know just feel free and mix- the way you usually speak,</english> <english>yes.</english> Hmm… Eeh… Aah… <english>When you're with your friends,</english> when you got your friends which languages do you use?",,
,,Participant,,It depends=,It depends=,,
,,Interviewer,,Aah=,Aah=,,
,,Participant,,It depends=,It depends=,,
,,Interviewer,,<zulu>Kudiphenda ngani</zulu> maybe?,<english>It depends on what</english> maybe?,,
,,Participant,,It depends <zulu>umngani uzoqhamuka kephi=</zulu>,It depends <english>where the friend comes from=</english>,,
,,Interviewer,,Okay.,Okay.,,
,,Participant,,If <zulu>umngani uqhamuka ngasemakhaya=</zulu>,If <english>the friend comes from the rural areas=</english>,,
,,Interviewer,,Aah…,Aah…,,
,,Participant,,We speak Zulu but if <zulu>umngani wala eskoleni</zulu> maybe we- we codeswitch.,We speak Zulu but if <english>a friend from school</english> maybe we- we codeswitch.,,
,,Interviewer,,Okay.,Okay.,,
,,Participant,,Yah.,Yah.,,
,,Interviewer,,Alright. And then aah- at school which languages do you use?,Alright. And then aah- at school which languages do you use?,,
,,Participant,,At school?,At school?,,
,,Interviewer,,"Yah, maybe at the university, which languages do you use?","Yah, maybe at the university, which languages do you use?",,
,,Participant,,"English- English and Zulu. But most of the time- when I’m- when we speak Zulu, both of us we speak Zulu, we only speak Zulu.","English- English and Zulu. But most of the time- when I’m- when we speak Zulu, both of us we speak Zulu, we only speak Zulu.",,"SM: in-group identification (low). OLF: ""when we speak"" is used to show solidarity amongst two Zulu speakers who are in an urban area but still feel that they need to constantly stick to their language."
,,Interviewer,,"Oh, okay, alright=","Oh, okay, alright=",,
,,Participant,,We can codeswitch a little bit.,We can codeswitch a little bit.,,
,,Interviewer,,Okay. But <zulu>isiZulu nisisebenzisa nini ezikhathini eziningi- nisisebenzisa nini isiZulu ezikhathini eziningi? Uma kunjani?</zulu> Like- which situation do you use isZulu?,Okay. But <english>Zulu you use it when in most times- you use Zulu when in most times? If it's what?</english> Like- which situation do you use isZulu?,,
,,Participant,,I think most of the time because English- when we study we use English.,I think most of the time because English- when we study we use English.,,
,,Interviewer,,Okay=,Okay=,,
,,Participant,,"And- and maybe when <zulu label='fluency'>umasibuka mhlawumbe amaseries,</zulu label='fluency'> <afrikaans>ja</afrikaans> <zulu>mhlawumbe siyawatranslator ngesiZulu yabo?</zulu>","And- and maybe when <english>when we are watching perhaps tv series,</english> <english>yes</english> <english>maybe we translate them into Zulu you see?</english>",,"SM: fluency. OLF: ""mhlawumbe"" is used as a fluency and NOT a disfluency."
,,Interviewer,,"Okay, alright, <zulu>ngiyaunderstander. Aah… ucabanga-</zulu> do you think it’s important <zulu>ukuthi khona la sisebenzise isiNgisi?</zulu>","Okay, alright, <english>I understand. Aah… you think-</english> do you think it’s important <english>that here we use English?</english>",,
,,Participant,,<zulu>Ukuthi kusebenze isiNgisi?</zulu>,<english>That we use English?</english>,,
,,Interviewer,,"<afrikaans>Ja.</afrikaans> Why- do you think it’s important to use English, and why?","<english>Yes.</english> Why- do you think it’s important to use English, and why?",,
,,Participant,,"<zulu label='expertise'>Kakhulu.</zulu label='expertise'> <afrikaans>Ja.</afrikaans> Coz English I think it’s an international language. If <zulu label='expertise'>ungayazi iEnglish ingathi kuthanda ukuba nzima kakhulu.</zulu label='expertise'> Judging from <zulu>iexperience yami.</zulu> Because <zulu>ngasekhaya bengi- bengi khuluma nje isiZulu</zulu> and <zulu>uma- uma ufika lana, uyaqala umeethe abantu abaqhamuka kwezinye izindawo bakhuluma amalanguage adifferent</zulu> and if <zulu>unga- ungakwazi ukuarticulator kwiEnglish uthi ukuba nenkinga kancane.</zulu>","<english>Greatly.</english> <english>Yes.</english> Coz English I think it’s an international language. If <english>you don't know English it seems there is great difficult.</english> Judging from <english>my experience.</english> Because <english>at home I was- I was just speaking Zulu</english> and <english>when- when I got here, you start meeting people from different areas that speak different languages</english> and if <english>you- you don't know how to articulate in English you have a bit of a problem.</english>",,"SM: expertise. OLF: ""kakhulu"" is used to put an emphasis on the fact that English language opens doors in the world."
,,Interviewer,,"Okay, <zulu>ngiyayizwa indaba yakho.</zulu> Aah… how about <zulu>i- i- i- inative</zulu> language- <zulu>ulimi lwakho lwebele, lona ucabanga ukuthi lubalulekile yini- lubalulekile yini ukuthi umuntu alwazi lololwimi lwakhe?</zulu>","Okay, <english>I hear your story.</english> Aah… how about <english>the- the- the- the native</english> language- <english>your mother tongue, you think it is important- you think it is important for someone to know his own mother toungue?</english>",,
,,Participant,,"<zulu label='accommodation'>Yebo, mina ngokwami, nengibona engathi kuright, ukuthi umuntu- eSouth Africa- eSouth Africa</zulu label='accommodation'> I think English is the best- it’s the best- <zulu>ilanguage yakho</zulu> atleast <zulu>ungakwazi ukuyikhuluma nokuyibhala kuphela.</zulu>","<english>Yes, according to me, and what I think it's right, is that a person- in South Africa- in South Africa</english> I think English is the best- it’s the best- <english>your language</english> atleast <english>you can speak it and write it only.</english>",,"SM: Accommodation. OLF: ""mina ngokwami"" is used to preface an exploration of a strong-yet-qualified position regarding the importance of knowing Zulu amongst its native speakers."
,,Interviewer,,"Okay, not <zulu>ukuthi isetshenziswe mhlawumbe kwezinye izindawo- uthole ukuthi isisetshenziswa ekufundiseni?</zulu>","Okay, not <english>that it should be used maybe in other areas- you find that it is used in teaching?</english>",,
,,Participant,,"No, <zulu label='expertise'>ingasebenza lapho kodwa manje ilevel yayo isephansi kakhulu ukuze kwenzeke ukuthi ikwazi isiZulu kuphela- kubengathi kunebarrier, ekuvimbela ukuthi-ke ukwazi kwezinye izinto- ukwenza ezinye izinto. NgezisiZulu kuphela</zulu label='expertise'> you can’t compete.","No, <english>it can be used there but its level is still too low for to be Zulu only- it be as if there is a barrier, that prevents you from other aspects- to do other things. With Zulu only</english> you can’t compete.",,"SM: Expertise. OLF: ""ilevel yayo"" is used by the participant to indicate that he knows what will work as a language policy in his are (region)"
,,Interviewer,,<afrikaans>Ja.</afrikaans>,<english>Yes.</english>,,
,,Participant,,<afrikaans>Ja.</afrikaans>,<english>Yes.</english>,,
,,Interviewer,,"No <zulu>ngiyayizwa, ngiyayizwa.</zulu> Ah, do you mix several languages in one conversation?","No <english>I hear it, I hear it.</english> Ah, do you mix several languages in one conversation?",,
,,Participant,,"Yes, I do. English and Zulu.","Yes, I do. English and Zulu.",,
,,Interviewer,,"Ah, why(…) do you mix and when?(…) Like aah- like in what situations do you find yourself mixing English and aah- why do you do that in particular?","Ah, why(…) do you mix and when?(…) Like aah- like in what situations do you find yourself mixing English and aah- why do you do that in particular?",,
,,Participant,,I must say <zulu label='disfluency'>isiZulu siqala ukuba</zulu label='disfluency'> weak=,I must say <english>Zulu starts to be</english> weak=,,"SM: Disfluency. OLF: ""ukuba weak"" is code-switched in this instance as an example of how the Participant struggles at times with both English and Zulu."
,,Interviewer,,Eh?,Eh?,,
,,Participant,,<zulu>Ngendlela yokuthi</zulu> you forget some of Zulu words=,<english>In such a way that</english> you forget some of Zulu words=,,"SM: Disfluency. OLF: ""you forget"" is used to show the Participant's low proficiency both English and Zulu."
,,Interviewer,,Okay=,Okay=,,
,,Participant,,And then you use English words easy.,And then you use English words easy.,,
,,Interviewer,,"Okay, <zulu>okusho ukuthi wena,</zulu> you are- you are more used to English than <zulu>isiZulu?</zulu>","Okay, <english>which means that you,</english> you are- you are more used to English than <english>Zulu?</english>",,
,,Participant,,"<zulu label='fluency'>Hhayi kanjalo,</zulu label='fluency'> not <zulu>kanjalo. Kodwa ezinye izinto uthole ukuthi uma uyazi wena uyazi ngeEnglish kuphela,</zulu> and <zulu>thola ukuthi awekho amagama esiZulu owazi ngayo.</zulu>","<english>Not like that,</english> not <english>like that. But other things you find that if you know it you only know it in English only,</english> and <english>find that there aren't any Zulu words you to know the thing by.</english>",,"SM: Fluency. OLF: ""hhayi kanjalo"" shows that the Participant knows certain things in Zulu and some in English, thus making this an interesting case of high and low proficiency."
,,Interviewer,,<zulu>Ngiyaunderstander.</zulu> Ah- have you noticed any difference between the way you speak and how other students talk?,<english>I understand.</english> Ah- have you noticed any difference between the way you speak and how other students talk?,,
,,Participant,,Yes.,Yes.,,
,,Interviewer,,Mhh… what is the difference?,Mhh… what is the difference?,,
,,Participant,,"You can- you can tell- you can tell because- <zulu>mhlawumbe umangasho ngamaZulu, Xhosa, Tswana</zulu> and <zulu>nabo bonke labo bantu itone yakhona ayifani=</zulu>","You can- you can tell- you can tell because- <english>perhaps if I can say about the Zulus, Xhosa, Tswana</english> and <english>and all those other people their tone is not the same=</english>",,"SM: Expertise / In-group Identification. OLF: ""you can tell"" signifies a code-switching instance where the Participant states a claim that could be assoicated with in-group identification."
,,Interviewer,,<zulu>Ayifani?</zulu>,<english>It's not the same?</english>,,
,,Participant,,<zulu>Ayifani.</zulu>,<english>It's not the same.</english>,,
,,Interviewer,,Okay.,Okay.,,
,,Participant,,"<zulu>Uma kuwukuthi uyiZulu</zulu> speaker <zulu label='ingroupidentification'>uyakwazi ukuzwa omunye umuntu ukuthi iZulu</zulu label='ingroupidentification'> speaker, and <zulu>umuntu</zulu> once <zulu>waqala wakhuluma usuyezwa ukuthi akusiyo iZulu</zulu> speaker=","<english>If it's that you're a Zulu</english> speaker <english>you're able to hear that the other one is a Zulu</english> speaker, and <english>a person</english> once <english>once he starts speaking you then hear that he is not a Zulu</english> speaker=",,"SM: In-group identification (low). OLF: ""uyakwazi ukuzwa"" used to distance the Participant from other non-Zulu speakers."
,,Interviewer,,"Okay, especially <zulu>uma ekhuluma isiNgisi</zulu> or something.","Okay, especially <english>when he speaks English</english> or something.",,
